Rad[kpc]	Vobs[km/s]	errV[km/s]	Vgas[km/s]	Vdisk[km/s]	Vbul[km/s]	SBdisk[L/pc^2]	SBbul[L/pc^2]
0.78	28.10	5.66	6.39	20.31	0.00	36.38	0.00
1.55	31.30	5.66	10.35	23.49	0.00	10.22	0.00
2.34	33.00	5.66	14.50	22.94	0.00	4.68	0.00
3.12	33.40	5.66	17.55	22.52	0.00	2.51	0.00
3.89	34.30	5.66	17.55	22.05	0.00	1.24	0.00
