Rad[kpc]	Vobs[km/s]	errV[km/s]	Vgas[km/s]	Vdisk[km/s]	Vbul[km/s]	SBdisk[L/pc^2]	SBbul[L/pc^2]
1.10	26.90	8.27	3.02	29.07	0.00	62.46	0.00
2.20	38.00	8.27	-3.24	37.16	0.00	33.06	0.00
3.30	40.50	8.27	12.42	41.22	0.00	23.94	0.00
4.39	41.40	8.27	16.39	45.00	0.00	17.12	0.00
5.50	42.30	8.27	20.17	46.13	0.00	11.39	0.00
6.59	42.30	8.27	25.63	47.72	0.00	7.71	0.00
7.69	42.30	8.27	31.39	46.74	0.00	4.88	0.00
