r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.22 9.71 4.34 0.00
0.66 19.48 3.92 9.97
1.11 21.45 4.43 16.85
1.55 28.71 4.19 26.30
1.99 35.19 3.70 38.36
2.43 46.61 3.93 56.13
2.87 52.27 3.91 77.69
3.32 54.28 3.58 98.92
3.76 61.96 3.75 121.99
4.20 69.22 3.70 149.28
4.64 78.13 3.36 179.20
5.09 78.49 3.43 210.60
5.53 83.67 3.59 243.08
5.97 89.02 3.77 279.49
6.41 89.87 3.90 317.35
6.85 92.00 3.86 354.48
7.30 94.31 3.76 391.71
7.74 99.82 3.78 429.63
8.18 97.98 3.68 466.99
8.62 104.18 3.59 504.19
9.07 105.47 3.58 543.80
9.51 107.13 3.56 582.57
9.95 107.76 3.42 620.52
10.39 109.18 3.52 658.53
10.83 111.68 3.49 697.81
11.28 113.74 3.35 738.16
11.72 113.17 3.16 775.81
12.16 112.97 2.92 810.56
12.60 111.94 2.77 842.83
13.04 114.00 2.61 874.03
13.49 115.01 2.35 904.85
13.93 118.05 2.18 934.14
14.37 118.87 2.02 963.00
