r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.87 27.30 4.95 0.00
1.74 52.70 4.77 68.49
2.71 69.20 4.28 118.91
3.58 83.50 4.06 174.92
4.45 95.90 2.98 232.88
5.32 110.00 1.95 288.29
