r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.87 42.20 8.09 0.00
1.74 79.90 5.68 96.47
2.71 112.00 7.21 196.61
3.58 127.00 6.28 282.61
4.45 130.00 5.71 364.15
5.32 133.00 3.89 431.74
6.20 136.00 3.70 498.39
