# r[kpc] vrot[km/s] Sigma_HI [Msun/pc2], jHI [kpc km/s]
0.34 38.80 11.54 0.00
0.68 50.10 11.66 27.16
1.02 60.20 9.64 40.38
1.36 68.20 9.33 57.09
1.69 72.80 7.91 73.81
2.03 75.30 7.77 91.69
2.37 76.60 7.66 110.17
2.70 77.60 6.47 126.97
3.05 78.50 5.33 143.02
3.38 78.20 5.13 157.72
3.72 78.80 4.57 172.71
4.06 79.20 3.57 186.35
4.39 79.20 2.75 197.71
4.74 79.20 2.40 208.72
5.08 78.80 1.62 217.92
5.41 78.50 1.69 226.26
5.75 80.10 1.91 236.84
6.09 80.10 1.74 248.56
6.42 80.10 1.47 259.30
6.77 80.10 1.34 270.08
7.11 79.80 1.46 281.32
7.44 79.80 1.23 292.34
7.78 79.50 1.00 302.33
8.12 79.50 0.84 311.15
8.46 78.80 0.84 319.75
8.80 77.90 0.73 328.16
9.13 77.20 0.53 335.02
9.47 77.60 0.58 341.73
9.77 76.60 0.57 348.21
10.15 77.60 0.52 356.47
