r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.22 14.53 0.42 0.00
0.37 39.02 0.40 10.12
0.52 83.77 0.39 22.67
0.66 84.97 0.39 34.41
0.81 91.36 0.40 45.90
0.96 93.60 0.40 57.15
1.10 92.53 0.37 66.55
1.25 89.58 0.34 75.22
1.40 87.38 0.32 82.95
1.55 85.52 0.32 90.36
1.69 81.35 0.33 96.96
1.84 88.32 0.34 105.05
1.99 96.90 0.33 115.28
2.14 99.58 0.33 126.70
2.28 99.60 0.34 137.60
2.43 98.87 0.34 149.02
2.58 108.51 0.36 161.94
2.73 138.88 0.37 181.08
2.87 188.14 0.39 210.37
3.02 211.16 0.42 252.62
3.17 198.33 0.43 294.00
3.31 166.81 0.48 324.00
3.46 164.13 0.52 350.42
3.61 167.19 0.60 377.81
3.76 169.98 0.68 407.46
3.90 176.63 0.72 436.76
4.05 164.57 0.76 465.11
4.20 154.26 0.81 487.13
4.35 143.71 0.83 503.61
4.49 146.90 0.88 517.58
4.64 149.42 0.93 534.34
4.79 168.75 1.01 557.23
4.94 182.13 1.10 588.56
5.08 190.66 1.15 622.15
5.23 206.40 1.24 663.38
5.38 207.08 1.29 706.72
5.52 217.69 1.44 749.26
5.67 225.36 1.53 798.86
5.82 231.34 1.59 849.28
5.97 239.46 1.62 899.88
6.11 243.51 1.65 946.71
6.26 247.38 1.68 995.65
6.41 249.64 1.69 1042.80
6.56 250.69 1.71 1087.79
6.70 251.69 1.70 1127.72
6.85 252.73 1.68 1168.26
7.00 247.65 1.68 1205.60
7.15 248.56 1.71 1240.75
7.29 245.83 1.81 1273.09
7.44 238.10 1.92 1305.82
7.59 241.33 2.03 1338.15
7.73 241.67 2.19 1369.95
7.88 242.14 2.29 1404.73
8.03 243.77 2.44 1440.34
8.18 245.11 2.57 1477.03
8.32 247.45 2.66 1511.98
8.47 247.09 2.79 1549.64
8.62 247.62 2.85 1586.70
8.77 250.84 2.93 1623.95
8.91 251.23 3.01 1658.99
9.06 254.98 3.11 1697.13
9.21 257.10 3.24 1736.54
9.36 257.44 3.39 1776.42
9.50 259.87 3.55 1814.35
9.65 263.00 3.69 1856.37
9.80 260.57 3.85 1898.11
9.94 260.83 3.96 1935.97
10.09 261.35 4.07 1976.03
10.24 261.25 4.18 2015.44
10.39 259.15 4.33 2053.67
10.53 257.48 4.51 2088.18
10.68 258.99 4.66 2125.01
10.83 256.56 4.86 2161.40
