# r[kpc] vrot[km/s] Sigma_HI [Msun/pc2], jHI [kpc km/s]
0.11 6.80 7.77 0.00
0.17 9.50 8.94 1.30
0.24 14.00 9.42 2.18
0.31 19.80 9.69 3.50
0.38 26.10 9.68 5.27
0.45 28.70 9.39 7.20
0.52 28.70 8.92 8.93
0.59 31.70 9.48 10.78
0.66 35.50 10.02 13.02
0.73 39.40 10.66 15.70
0.80 42.90 11.05 18.73
0.87 46.00 10.57 21.88
0.94 49.10 10.64 25.15
1.01 49.20 10.89 28.43
1.08 51.40 11.17 31.74
1.14 57.20 11.39 34.98
1.21 63.80 11.57 39.50
1.29 67.80 12.13 45.31
1.35 69.80 12.34 49.83
1.42 71.70 12.26 55.08
1.49 74.10 11.74 60.19
1.56 76.70 10.86 65.12
1.63 79.90 9.75 69.83
1.74 83.60 8.06 76.70
1.93 83.90 6.24 86.83
2.10 88.70 5.26 95.08
2.27 85.30 4.51 102.72
