# r[kpc] vrot[km/s] Sigma_HI [Msun/pc2], jHI [kpc km/s]
0.87 47.80 7.63 0.00
1.74 98.90 6.85 125.40
2.61 146.00 5.58 220.42
3.50 164.00 5.08 333.37
4.37 174.00 5.28 452.14
5.24 175.00 5.12 568.10
6.11 184.00 4.00 672.36
6.98 185.00 4.02 776.56
7.85 188.00 4.00 886.16
8.72 190.00 3.73 996.20
9.60 191.00 3.27 1101.10
10.47 191.00 2.73 1194.59
11.35 189.00 2.03 1273.90
12.19 186.00 1.68 1337.36
13.12 183.00 1.38 1399.77
13.94 179.00 1.22 1450.03
14.86 177.00 1.20 1506.57
15.79 177.00 1.21 1568.92
16.72 178.00 0.97 1630.45
