# r[kpc] vrot[km/s] Sigma_HI [Msun/pc2], jHI [kpc km/s]
9.93 377.00 1.33 0.00
10.05 377.00 1.35 3766.53
10.35 378.00 1.39 3828.60
15.07 367.00 1.93 4932.69
20.09 364.00 2.20 5985.23
25.12 375.00 2.00 7082.84
30.14 383.00 1.57 8147.15
35.17 378.00 1.24 9112.61
40.19 364.00 1.04 9963.73
45.21 349.00 0.99 10760.00
50.24 338.00 0.95 11546.53
55.26 332.00 0.83 12300.18
60.28 330.00 0.67 12991.85
65.31 329.00 0.49 13593.58
70.33 330.00 0.33 14083.06
75.35 332.00 0.26 14502.84
80.38 333.00 0.26 14941.73
