r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.86 281.22 7.19 0.00
1.73 267.47 6.07 380.87
2.59 294.01 5.97 538.30
3.45 282.12 6.60 703.04
4.31 285.79 7.81 877.23
5.18 301.52 7.52 1062.34
6.04 317.03 6.11 1239.87
6.90 320.61 5.84 1415.94
7.76 319.48 6.56 1605.32
8.63 321.23 7.09 1811.48
9.49 322.98 6.25 2004.68
10.35 319.39 5.22 2170.65
11.21 300.12 4.61 2306.10
12.08 304.75 4.54 2435.66
12.94 302.98 4.66 2575.23
13.80 301.16 4.97 2725.67
14.66 295.77 5.71 2890.58
15.53 290.99 6.00 3063.98
16.39 278.91 5.64 3218.71
17.25 283.36 4.75 3352.89
18.11 280.69 4.15 3474.23
18.98 273.06 3.82 3583.92
19.84 270.67 3.75 3687.40
20.70 270.38 3.78 3794.78
21.56 271.20 3.71 3907.16
22.43 267.82 3.84 4025.06
23.29 263.41 3.96 4144.37
24.15 243.67 3.79 4250.00
25.01 231.26 3.01 4327.69
25.88 225.35 2.22 4383.60
26.74 219.73 1.79 4425.95
27.60 211.74 1.64 4461.61
28.46 208.30 1.64 4495.76
29.33 201.63 1.77 4531.86
30.19 204.21 1.68 4570.12
31.05 193.23 1.62 4607.03
31.91 203.16 1.66 4646.95
32.78 203.74 1.67 4695.40
33.64 203.65 1.44 4743.20
34.50 203.13 1.20 4786.29
