R[kpc] Vrot[km/s] e_Vrot[km/s] Sigma_gas[Msun/kpc2] e_Sigma_gas[Msun/kpc2] Sigma_SFR[Msun/yr/kpc2] e_Sigma_SFR[Msun/yr/kpc2]
2.100210893753181596e-01 4.164361716550484971e+01 1.767998719573641297e+00 7.080000000000000000e+06 1.427705605786618311e+06 1.825692972607873346e-02 2.804685399263779494e-03
6.300632681259545897e-01 5.393552159842920446e+01 1.742450214010409670e+00 7.091000000000000000e+06 1.594443715846994659e+06 1.070786174771442070e-02 1.332183056514595109e-03
1.050105446876590909e+00 6.403793744870502280e+01 1.412001757447943096e+00 8.330000000000000000e+06 1.838820803782505449e+06 9.465606404680875288e-03 1.117012123735247001e-03
1.470147625627226784e+00 7.573921049378226655e+01 1.419034797469274967e+00 8.680000000000000000e+06 2.296997718631178606e+06 8.565329675861845654e-03 6.287581535918730386e-04
1.890189804377863547e+00 8.771829771341305104e+01 1.517924530164040053e+00 8.604000000000000000e+06 2.854450306748466566e+06 7.793646520556502845e-03 6.079608067497398747e-04
2.310231983128499866e+00 9.722844689563704890e+01 1.351097488148048198e+00 8.488999999999998137e+06 2.772307692307692021e+06 5.872825234318763965e-03 7.946025806551216880e-04
2.730274161879135963e+00 1.052796039612703538e+02 1.527379890986283240e+00 9.375000000000000000e+06 3.056037136782424059e+06 3.904882818647278583e-03 6.122886110789926405e-04
3.150316340629772505e+00 1.123325304497335253e+02 1.343705998005340074e+00 8.019000000000000000e+06 3.012471416803953703e+06 2.744300754150445082e-03 5.721837075373288357e-04
3.570358519380407714e+00 1.183458545296036277e+02 1.617043431088838190e+00 6.904000000000000000e+06 3.225335856196783017e+06 1.659408041257799714e-03 3.215617788726779893e-04
3.990400698131043811e+00 1.216902283613664082e+02 1.667927400486183709e+00 5.547000000000000931e+06 2.674229627912368625e+06 1.066669971500378749e-03 1.557327953838163787e-04
4.410442876881681684e+00 1.217669044931797231e+02 2.139373899733699069e+00 4.502000000000000000e+06 2.531581872595125809e+06 8.527692592290394592e-04 1.723861164319104853e-04
4.830485055632318669e+00 1.217670000000000101e+02 1.845861074086386777e+00 3.498999999999999534e+06 2.101884463580911048e+06 5.031154098031172727e-04 1.004139119269944103e-04
5.250527234382953878e+00 1.217670000000000101e+02 1.864978050167779955e+00 3.171999999999999534e+06 2.069613325401546899e+06 4.003322448230690867e-04 1.466941860804953340e-04
5.670569413133589087e+00 1.217670000000000101e+02 2.269085303839372791e+00 2.325000000000000000e+06 1.740463208046585554e+06 1.890443482804980300e-04 6.746715398297420841e-05
6.090611591884227849e+00 1.217670000000000101e+02 1.948796854774198506e+00 1.462000000000000000e+06 1.227118032786885276e+06 5.856843252720763890e-05 1.913571606813598846e-05
6.510653770634862170e+00 1.217670000000000101e+02 3.717040890532632869e+00 1.004000000000000000e+06 8.781721068249258678e+05 4.584577795967682769e-05 1.092968505815667436e-05
6.930695949385499155e+00 1.217670000000000101e+02 3.950332048231990356e+00 6.319000000000000000e+05 5.128915547024951666e+05 3.784777773934881262e-05 7.926749808061864854e-06
