R[kpc] Vrot[km/s] e_Vrot[km/s] Sigma_gas[Msun/kpc2] e_Sigma_gas[Msun/kpc2] Sigma_SFR[Msun/yr/kpc2] e_Sigma_SFR[Msun/yr/kpc2]
3.896999999999999797e+00 3.099599999999999795e+02 9.404500000000000526e+00 2.250722000000000000e+06 1.124884272765830858e+06 1.854045359185148767e-03 1.799234197788182512e-04
4.306999999999999496e+00 3.119420000000000073e+02 7.429499999999999993e+00 2.543641999999999534e+06 1.247937911444081925e+06 2.109105357768540061e-03 1.515834199362192094e-04
4.716999999999999638e+00 3.156620000000000346e+02 7.094500000000000028e+00 2.947677000000000000e+06 1.209405963979175314e+06 2.157567414268228220e-03 1.169829462607950750e-04
5.127000000000000668e+00 3.157470000000000141e+02 5.424000000000000377e+00 3.389141000000000466e+06 1.194490371412114473e+06 2.141819930257553815e-03 8.254542253566146508e-05
5.537000000000000810e+00 3.184329999999999927e+02 6.045500000000000540e+00 3.675450000000000000e+06 1.353590025460762437e+06 2.075022975067533811e-03 7.647286362722589478e-05
5.947000000000000064e+00 3.207640000000000100e+02 7.876500000000000057e+00 3.688030999999999534e+06 1.373477482216843404e+06 2.008223881560350713e-03 7.910945669236058237e-05
6.357999999999999652e+00 3.193020000000000209e+02 7.295499999999999652e+00 3.770744000000000000e+06 1.320029942184875486e+06 1.941258028407196910e-03 9.737216463155700568e-05
6.767999999999999794e+00 3.230380000000000109e+02 6.907999999999999474e+00 3.942689000000000000e+06 1.402065701303709997e+06 1.826820210513182240e-03 1.036819080071431468e-04
7.177999999999999936e+00 3.250819999999999936e+02 6.636499999999999844e+00 3.937251000000000466e+06 1.346132229177231668e+06 1.687143005999765678e-03 1.036819080071431468e-04
7.587999999999999190e+00 3.232980000000000018e+02 5.811500000000000554e+00 3.760893000000000000e+06 1.395850871067434549e+06 1.507241059095226201e-03 1.094291866905836724e-04
7.997999999999999332e+00 3.213460000000000036e+02 6.241500000000000270e+00 3.639775000000000000e+06 1.295170621239774395e+06 1.341508639354789751e-03 1.123571388033674088e-04
8.407999999999999474e+00 3.219069999999999823e+02 4.552500000000000213e+00 3.798192000000000000e+06 1.198219269553879742e+06 1.228148639984393258e-03 1.052717909419093549e-04
8.818999999999999062e+00 3.218509999999999991e+02 5.693500000000000227e+00 4.104381000000000000e+06 1.331216636610171292e+06 1.141288194268473988e-03 1.036819080071431468e-04
9.228999999999999204e+00 3.244159999999999968e+02 4.499000000000000554e+00 4.171280000000000466e+06 1.337431466846446507e+06 1.062772149681622804e-03 1.032523855477660018e-04
9.638999999999999346e+00 3.253319999999999936e+02 4.666999999999999815e+00 4.149370999999999534e+06 1.322515874279385665e+06 9.899002499776249093e-04 9.717982663933044511e-05
1.004899999999999949e+01 3.227370000000000232e+02 1.618999999999999995e+00 4.125817999999999534e+06 1.275283164483693428e+06 9.126135530205877096e-04 8.890019421586231130e-05
1.045900000000000141e+01 3.234440000000000168e+02 4.682999999999999829e+00 4.203387000000000000e+06 1.291441723098009359e+06 8.275935534927899608e-04 7.675447999760548229e-05
1.086900000000000155e+01 3.223600000000000136e+02 4.714999999999999858e+00 4.216830000000000000e+06 1.369748584075078601e+06 7.465581363511925202e-04 6.859295686805405362e-05
1.127900000000000169e+01 3.218890000000000100e+02 4.345500000000000362e+00 4.122028000000000466e+06 1.318786976137620397e+06 6.676112921332167348e-04 6.251980155823287622e-05
1.168999999999999950e+01 3.220869999999999891e+02 5.735000000000000320e+00 4.205000000000000000e+06 1.279012062625458697e+06 5.826955581140023238e-04 6.220873750577864049e-05
1.209999999999999964e+01 3.213899999999999864e+02 2.927000000000000046e+00 3.992004000000000000e+06 1.369748584075078601e+06 4.959480456068034518e-04 6.048077358874413270e-05
1.250999999999999979e+01 3.200629999999999882e+02 4.078500000000000014e+00 3.883899000000000000e+06 1.490316290658819024e+06 4.038433940191646018e-04 5.339612152890263176e-05
1.291999999999999993e+01 3.215459999999999923e+02 4.081999999999999851e+00 3.691993000000000000e+06 1.454270275288422359e+06 3.314878324513654824e-04 4.710093034712577425e-05
1.333000000000000007e+01 3.239069999999999823e+02 5.711500000000000021e+00 3.404944000000000466e+06 1.455513241335677449e+06 2.660197468267700652e-04 4.102781867643036389e-05
1.374000000000000021e+01 3.193640000000000327e+02 7.030499999999999972e+00 3.443962999999999534e+06 1.471671799949993147e+06 2.174368899537429661e-04 3.495525976799480038e-05
1.415099999999999980e+01 3.166750000000000114e+02 5.787499999999999645e+00 3.501880000000000466e+06 1.443083580863126786e+06 1.754454146462445976e-04 2.886767009000395511e-05
1.456099999999999994e+01 3.163040000000000305e+02 5.777499999999999858e+00 3.726387000000000466e+06 1.466699935760973021e+06 1.450814273012955048e-04 2.279451478018275739e-05
1.497099999999999831e+01 3.136449999999999818e+02 6.730999999999999872e+00 3.717997000000000000e+06 1.466699935760973021e+06 1.227450666109125370e-04 2.073556700441411726e-05
1.538099999999999845e+01 3.129639999999999986e+02 7.188000000000001499e+00 3.692671000000000000e+06 1.403308667350965086e+06 1.045261970828345713e-04 2.073556700441411726e-05
1.579099999999999859e+01 3.135470000000000255e+02 9.462500000000000355e+00 3.631719999999999534e+06 1.383421210594884120e+06 2.521317785026468443e-05 0.000000000000000000e+00
1.620100000000000051e+01 3.098029999999999973e+02 7.582499999999999574e+00 3.545650000000000000e+06 1.393364938972924603e+06 3.752403320585912547e-05 4.377947880036850257e-06
1.661200000000000188e+01 3.066419999999999959e+02 5.383999999999999453e+00 3.471717000000000000e+06 1.443083580863126786e+06 5.389669529398731593e-05 2.574187227339126959e-05
1.702200000000000202e+01 3.079429999999999836e+02 6.787999999999999368e+00 3.415194999999999534e+06 1.392121972925669281e+06 2.549734626354294433e-05 3.982018471498805775e-06
1.743200000000000216e+01 3.105000000000000000e+02 9.114499999999999602e+00 3.377442000000000000e+06 1.358561889649782563e+06 3.313603667947663794e-05 1.028253253048409994e-05
1.784199999999999875e+01 3.122459999999999809e+02 1.144250000000000078e+01 3.294051000000000000e+06 1.364776719886058010e+06 4.470883558151008389e-05 1.315759342188498996e-05
1.825199999999999889e+01 3.131770000000000209e+02 1.269100000000000072e+01 3.295065000000000000e+06 1.307600281712325057e+06 4.932296205458601299e-05 6.947106415132358242e-06
1.866199999999999903e+01 3.148570000000000277e+02 1.200300000000000011e+01 3.354255000000000000e+06 1.223078590498980833e+06 4.496350722385595086e-05 9.618974043082439713e-06
1.907300000000000040e+01 3.111090000000000373e+02 1.247949999999999982e+01 3.452320000000000000e+06 1.276526130530948285e+06 2.331594638770933552e-05 2.011761338423293379e-06
1.948300000000000054e+01 3.004649999999999750e+02 1.106850000000000023e+01 3.605829000000000000e+06 1.245451979349572444e+06 2.259489143321213265e-05 6.064589738649424787e-07
1.989300000000000068e+01 2.990459999999999923e+02 9.090500000000000469e+00 3.670411000000000000e+06 1.266582402152908035e+06 2.687777115663927477e-05 2.136135570465360999e-06
