R[kpc] Vrot[km/s] e_Vrot[km/s] Sigma_gas[Msun/kpc2] e_Sigma_gas[Msun/kpc2] Sigma_SFR[Msun/yr/kpc2] e_Sigma_SFR[Msun/yr/kpc2]
1.995976050226650478e-01 2.446999999999999886e+01 1.280000000000000027e+00 5.819996323529411107e+06 2.131291882725020871e+06 1.250495137502845473e-02 2.534294429943579740e-03
5.987928150679950878e-01 3.481362617327990705e+01 1.606830201822642579e+00 5.790936453298753127e+06 1.525354690570649225e+06 7.626130585956103144e-03 1.089904456793985279e-03
9.979880251133251834e-01 5.318044891511496530e+01 1.971989045529733309e+00 6.869266023838534951e+06 2.517983516527599189e+06 9.323326062984782156e-03 2.460177960710041491e-03
1.397183235158655057e+00 6.817686241790451618e+01 1.379986682156388422e+00 9.402409302281444892e+06 3.912926407032924704e+06 1.299279417913200285e-02 6.485911592239913814e-03
1.796378445203985708e+00 7.440990835139261605e+01 1.351660386880954690e+00 3.949000000000000000e+06 2.889576284584980458e+06 4.958399075047667352e-03 3.043295167034978412e-03
2.195573655249315248e+00 7.747772354059098632e+01 2.048256028410054608e+00 1.837000000000000000e+06 1.441326639606921701e+06 1.424918664797451091e-03 8.349652506518429355e-04
2.594768865294645011e+00 7.666447327582525872e+01 3.135370317231276793e+00 1.242999999999999767e+06 1.015174395819725702e+06 3.579325087535828150e-04 1.487164125941397522e-04
2.993964075339976105e+00 7.763691239425013180e+01 5.416794626191689055e+00 9.970000000000000000e+05 7.528043478260870324e+05 1.642052803244397176e-04 3.849863886354336931e-05
