R[kpc] Vrot[km/s] e_Vrot[km/s] Sigma_gas[Msun/kpc2] e_Sigma_gas[Msun/kpc2] Sigma_SFR[Msun/yr/kpc2] e_Sigma_SFR[Msun/yr/kpc2]
2.700000000000000178e-01 1.028999999999999915e+01 2.270000000000000018e+00 2.780000000000000000e+06 6.700000000000000000e+05 1.109523680590478135e-03 1.358595620769711227e-04
5.400000000000000355e-01 1.389000000000000057e+01 2.009999999999999787e+00 2.970000000000000000e+06 9.400000000000000000e+05 8.677614516540095363e-04 1.683389435195418473e-04
8.100000000000000533e-01 1.917999999999999972e+01 1.520000000000000018e+00 3.240000000000000000e+06 1.160000000000000000e+06 6.095628460329942204e-04 1.854343659726395092e-04
1.080000000000000071e+00 2.435999999999999943e+01 1.209999999999999964e+00 3.500000000000000000e+06 1.150000000000000000e+06 4.096726374366221803e-04 1.208017479121217450e-04
1.350000000000000089e+00 2.726999999999999957e+01 1.750000000000000000e+00 3.390000000000000000e+06 9.200000000000000000e+05 2.871411844520038357e-04 9.812153665112188794e-05
1.610000000000000098e+00 2.957000000000000028e+01 1.520000000000000018e+00 3.270000000000000000e+06 9.400000000000000000e+05 1.479989014164645716e-04 6.981036332504112494e-05
1.879999999999999893e+00 3.144000000000000128e+01 1.600000000000000089e+00 3.100000000000000000e+06 8.700000000000000000e+05 1.323611938540939935e-04 5.961937552202956184e-05
2.149999999999999911e+00 3.392000000000000171e+01 1.580000000000000071e+00 2.790000000000000000e+06 8.300000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00
2.419999999999999929e+00 3.606000000000000227e+01 1.449999999999999956e+00 2.530000000000000000e+06 8.400000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00
2.689999999999999947e+00 3.835000000000000142e+01 1.620000000000000107e+00 2.290000000000000000e+06 8.400000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00
2.959999999999999964e+00 4.110999999999999943e+01 1.379999999999999893e+00 2.120000000000000000e+06 8.200000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00
3.229999999999999982e+00 4.302000000000000313e+01 1.370000000000000107e+00 2.000000000000000000e+06 7.700000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00
3.500000000000000000e+00 4.450999999999999801e+01 1.350000000000000089e+00 1.900000000000000000e+06 7.400000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00
3.770000000000000018e+00 4.489000000000000057e+01 1.350000000000000089e+00 1.810000000000000000e+06 7.300000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00
4.040000000000000036e+00 4.571000000000000085e+01 1.409999999999999920e+00 1.600000000000000000e+06 7.100000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00
4.309999999999999609e+00 4.607999999999999829e+01 2.240000000000000213e+00 1.340000000000000000e+06 6.700000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00
4.570000000000000284e+00 4.665999999999999659e+01 1.959999999999999964e+00 1.120000000000000000e+06 6.100000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00
4.839999999999999858e+00 4.596000000000000085e+01 2.439999999999999947e+00 9.400000000000000000e+05 5.600000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00
5.110000000000000320e+00 4.588000000000000256e+01 2.500000000000000000e+00 8.200000000000000000e+05 5.000000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00
5.379999999999999893e+00 4.525999999999999801e+01 2.350000000000000089e+00 7.600000000000000000e+05 4.400000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00
5.650000000000000355e+00 4.496000000000000085e+01 2.240000000000000213e+00 7.000000000000000000e+05 3.900000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00
5.919999999999999929e+00 4.524000000000000199e+01 2.350000000000000089e+00 6.400000000000000000e+05 3.400000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00
6.190000000000000391e+00 4.524000000000000199e+01 2.169999999999999929e+00 5.800000000000000000e+05 3.000000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00
6.459999999999999964e+00 4.529999999999999716e+01 3.390000000000000124e+00 5.000000000000000000e+05 2.500000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00
6.730000000000000426e+00 4.650000000000000000e+01 3.640000000000000124e+00 4.200000000000000000e+05 2.100000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00
7.000000000000000000e+00 4.585999999999999943e+01 5.080000000000000071e+00 3.700000000000000000e+05 1.900000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00
