R[kpc] Vrot[km/s] e_Vrot[km/s] Sigma_gas[Msun/kpc2] e_Sigma_gas[Msun/kpc2] Sigma_SFR[Msun/yr/kpc2] e_Sigma_SFR[Msun/yr/kpc2]
3.800000000000000044e-01 1.823000000000000043e+01 3.229999999999999982e+00 4.290000000000000000e+06 1.120000000000000000e+06 1.752701038032004584e-03 6.937068017171283286e-04
7.600000000000000089e-01 2.691000000000000014e+01 2.609999999999999876e+00 3.800000000000000000e+06 1.180000000000000000e+06 8.881948952724151494e-04 3.526851236830439926e-04
1.129999999999999893e+00 2.571999999999999886e+01 3.790000000000000036e+00 3.660000000000000000e+06 1.220000000000000000e+06 5.286687356641859691e-04 2.112478200949108906e-04
1.510000000000000009e+00 2.966000000000000014e+01 2.609999999999999876e+00 3.800000000000000000e+06 1.580000000000000000e+06 4.784563833818332662e-04 1.911771049551231813e-04
1.889999999999999902e+00 2.732999999999999829e+01 2.490000000000000213e+00 3.900000000000000000e+06 1.740000000000000000e+06 3.952923827832009653e-04 1.584316131589119376e-04
2.270000000000000018e+00 2.887999999999999901e+01 2.759999999999999787e+00 3.770000000000000000e+06 1.320000000000000000e+06 3.243531295968696293e-04 1.310087737522512119e-04
2.649999999999999911e+00 3.472999999999999687e+01 2.299999999999999822e+00 3.980000000000000000e+06 1.070000000000000000e+06 2.752385468739291401e-04 1.120132133271902088e-04
3.029999999999999805e+00 3.985000000000000142e+01 2.370000000000000107e+00 3.870000000000000000e+06 1.340000000000000000e+06 2.295618802327813103e-04 9.444546355105266704e-05
3.399999999999999911e+00 4.664000000000000057e+01 2.350000000000000089e+00 3.440000000000000000e+06 1.300000000000000000e+06 1.670809921037510191e-04 7.104884354580758802e-05
3.779999999999999805e+00 5.345000000000000284e+01 3.149999999999999911e+00 2.980000000000000000e+06 1.070000000000000000e+06 1.356968992567915454e-04 5.959213989410199375e-05
4.160000000000000142e+00 5.786999999999999744e+01 3.270000000000000018e+00 2.740000000000000000e+06 1.040000000000000000e+06 1.231843045098724549e-04 5.519484947999063647e-05
4.540000000000000036e+00 6.022999999999999687e+01 2.970000000000000195e+00 2.490000000000000000e+06 1.310000000000000000e+06 1.087442618653286844e-04 5.071343737148704375e-05
4.919999999999999929e+00 6.227000000000000313e+01 3.450000000000000178e+00 2.110000000000000000e+06 1.310000000000000000e+06 5.426490583008491215e-05 3.301864193760861444e-05
5.290000000000000036e+00 6.320000000000000284e+01 5.080000000000000071e+00 1.660000000000000000e+06 1.160000000000000000e+06 3.989742836627538142e-05 3.011044694669641058e-05
