R[kpc] Vrot[km/s] e_Vrot[km/s] Sigma_gas[Msun/kpc2] e_Sigma_gas[Msun/kpc2] Sigma_SFR[Msun/yr/kpc2] e_Sigma_SFR[Msun/yr/kpc2]
2.068213220856665313e-01 4.962899999999999778e+01 1.718499999999999917e+00 1.187628672794117406e+07 3.622765299704542849e+06 1.033987229119514607e-02 6.342516536682570646e-04
6.204639662569995107e-01 6.464623872800468973e+01 1.169239484734882595e+00 1.363673298827614635e+07 4.028041301517187152e+06 9.571169380927805823e-03 1.759938201914361270e-03
1.034106610428332296e+00 7.644819967700196628e+01 2.273586305185709922e+00 1.111805027928791195e+07 2.797709614833561704e+06 9.110930464350764160e-03 3.206747053607792060e-03
1.447749254599665525e+00 8.498282640770614194e+01 6.684730011730366517e-01 1.076975311308320984e+07 2.913508514930975158e+06 8.810284106417074629e-03 3.362101506502861940e-03
1.861391898770998310e+00 9.166344189355397987e+01 1.781023665384722010e+00 8.883392157604282722e+06 2.817707865416654851e+06 5.376912887087872961e-03 9.176496625132546337e-04
2.275034542942332205e+00 9.529622227632455633e+01 1.805962411605023243e+00 8.068310248526042327e+06 2.850811125259305350e+06 3.859811326053297527e-03 5.599821984669255039e-04
2.688677187113664324e+00 9.795792276925314468e+01 1.355851273442739924e+00 8.341293712830243632e+06 2.587502763520258944e+06 3.423518361392669657e-03 4.430556235537678436e-04
3.102319831284997331e+00 1.052353099969541006e+02 1.520669958653863674e+00 7.536000000000000931e+06 3.005912158808933105e+06 3.508179280175806759e-03 6.250725830525998613e-04
3.515962475456330338e+00 1.108094943250504087e+02 1.740480059421238179e+00 8.215000000000000000e+06 2.397212741751990747e+06 4.279015687713251526e-03 1.548263892239400011e-03
3.929605119627663345e+00 1.162248303101012965e+02 2.065190009369543223e+00 7.482000000000000000e+06 2.238848969394128304e+06 3.078717592406705634e-03 9.435541456689433646e-04
4.343247763798996353e+00 1.199158684023682753e+02 1.890820776319473095e+00 6.917999999999999069e+06 2.258777582714382559e+06 1.609381011030825781e-03 3.658434248289452705e-04
4.756890407970329804e+00 1.230351735596216969e+02 2.426358112734533723e+00 6.477000000000000000e+06 2.330294087959625293e+06 1.077566253210409091e-03 2.084970710360715626e-04
5.170533052141662367e+00 1.249947882010864504e+02 2.074397582415614227e+00 5.851000000000000000e+06 2.559673205741627142e+06 8.845591838105667419e-04 2.741059593250255244e-04
5.584175696312997594e+00 1.258370937895777075e+02 2.152703777713835809e+00 5.383999999999999069e+06 2.362622077922077850e+06 7.967147719617026936e-04 4.417442363735344518e-04
5.997818340484327493e+00 1.260579030271667733e+02 1.455306276188258474e+00 5.166000000000000000e+06 2.167592411924119107e+06 5.853044993783622623e-04 1.913577524394006264e-04
6.411460984655661832e+00 1.264085430087298079e+02 6.265799836428223024e-01 4.867000000000000000e+06 1.990629022988505894e+06 5.099969319636176888e-04 8.813799617276127818e-05
6.825103628826993507e+00 1.256240861070446329e+02 2.024846183782154529e+00 4.784000000000000000e+06 1.682770955165692139e+06 3.962611907147700597e-04 5.847129503661031917e-05
7.238746272998329623e+00 1.259677891736990887e+02 1.410876606866006799e+00 4.547000000000000000e+06 1.521802277857582550e+06 3.279586811014137057e-04 5.084790030015562330e-05
7.652388917169660409e+00 1.263953682525328759e+02 5.622539006385824933e-01 4.215000000000000000e+06 1.410522586359610083e+06 2.399944705769276238e-04 4.677681701106510542e-05
8.066031561340993861e+00 1.274510136460870484e+02 1.322442328129320499e+00 3.893999999999999534e+06 1.329923879165667575e+06 1.557519549232064065e-04 2.338786095997465761e-05
8.479674205512326424e+00 1.276298591371659512e+02 5.665953225360484957e-01 3.760000000000000000e+06 1.208624021860638401e+06 1.184614859901447233e-04 1.169338293442943201e-05
8.893316849683657210e+00 1.265278217341769249e+02 1.955203855881186392e+00 3.578999999999999534e+06 1.338612587959343102e+06 1.183342742625719451e-04 4.135154230202084624e-05
9.306959493854991550e+00 1.266739854844807240e+02 4.921437330641900143e-01 3.380000000000000000e+06 1.496930146045742789e+06 1.096049220404732587e-04 5.871820034801426369e-05
