R[kpc] Vrot[km/s] e_Vrot[km/s] Sigma_gas[Msun/kpc2] e_Sigma_gas[Msun/kpc2] Sigma_SFR[Msun/yr/kpc2] e_Sigma_SFR[Msun/yr/kpc2]
1.739509853828812014e-01 1.451639999999999873e+02 1.107150000000000034e+01 1.351144117647058889e+07 4.309249627672080882e+06 2.370613992366074063e-01 6.106193711473113794e-02
5.218529561486436874e-01 1.451639999999999873e+02 1.107150000000000034e+01 1.734044117647058889e+07 3.768443223745298572e+06 1.303030555387917622e-01 4.231915002379922630e-02
8.697549269144058126e-01 1.451639999999999873e+02 1.107150000000000034e+01 1.618944117647058889e+07 3.959218125701177865e+06 5.335430739330084687e-02 1.701756303823385996e-02
1.217656897680168493e+00 1.451639999999999873e+02 1.107150000000000034e+01 1.169062663298366405e+07 2.784795512954439037e+06 2.597807680416243034e-02 5.539979384612092606e-03
1.565558868445930729e+00 1.467687878920979756e+02 9.677921093201840463e+00 1.063522379012751579e+07 2.468238991864276584e+06 2.121575861238912328e-02 2.922565774757222151e-03
1.913460839211693187e+00 1.514321527252111252e+02 7.284790071350759177e+00 1.141606429692861810e+07 2.381443574340818450e+06 2.213087489833630642e-02 2.430223882308155808e-03
2.261362809977455868e+00 1.576025143216063782e+02 6.254671397736480287e+00 1.215853363703561388e+07 2.502736488128915895e+06 2.349907641977874023e-02 2.993252302521479287e-03
2.609264780743218548e+00 1.574456563699935430e+02 5.010952325403019714e+00 1.270124714970808104e+07 2.732147052794811781e+06 2.297237870425728259e-02 3.682823104088035499e-03
2.957166751508981672e+00 1.609359266388948129e+02 4.291349119702195125e+00 1.292837903109241277e+07 2.662726665354959201e+06 2.285700588742664227e-02 3.909108315207825667e-03
3.305068722274743465e+00 1.675957094448447151e+02 4.892804982670948100e+00 1.276948575171636418e+07 2.599177608181300107e+06 2.382205255131378263e-02 3.693092599281347019e-03
3.652970693040505701e+00 1.757355717120165934e+02 4.996747737568429493e+00 1.285507443863416463e+07 3.132694660746630281e+06 2.536045325512959261e-02 4.912648970257432919e-03
4.000872663806267937e+00 1.846249800507820851e+02 4.946125894448664795e+00 1.230168874317255989e+07 3.608377415594039485e+06 2.633007715995073703e-02 7.276875676314322611e-03
4.348774634572029285e+00 1.918420385245614170e+02 4.892526183351296964e+00 1.106491999418448284e+07 3.321514949142752215e+06 2.447318922479771799e-02 6.695009863374119623e-03
4.696676605337793298e+00 1.958428661527404699e+02 4.754697639310204060e+00 1.127567033446817659e+07 3.245359552220214624e+06 1.971514609694701922e-02 4.805787003337627650e-03
5.044578576103556422e+00 1.996043944492996332e+02 5.157640369206429654e+00 1.089913479108789191e+07 3.387628719598292373e+06 1.483359560435176111e-02 3.416037496297688082e-03
5.392480546869318658e+00 2.027641425229378171e+02 5.591433350211120867e+00 1.019145878333963640e+07 3.132619739940695465e+06 1.144452298697460485e-02 2.818619652146798875e-03
5.740382517635080895e+00 2.030577642939400960e+02 5.337094489826339938e+00 9.895872294801004231e+06 3.210423844414814841e+06 9.037225187286347314e-03 2.596001643144264098e-03
