R[kpc] Vrot[km/s] e_Vrot[km/s] Sigma_gas[Msun/kpc2] e_Sigma_gas[Msun/kpc2] Sigma_SFR[Msun/yr/kpc2] e_Sigma_SFR[Msun/yr/kpc2]
4.299999999999999933e-01 1.310999999999999943e+01 3.430000000000000160e+00 2.640000000000000000e+06 5.400000000000000000e+05 2.971937948520621113e-04 1.247806061097743848e-04
8.599999999999999867e-01 2.123000000000000043e+01 2.620000000000000107e+00 2.660000000000000000e+06 7.600000000000000000e+05 3.137567522298118560e-04 1.310497470846924478e-04
1.290000000000000036e+00 2.592000000000000171e+01 2.950000000000000178e+00 2.440000000000000000e+06 8.100000000000000000e+05 2.879505231152793172e-04 1.211258126483278925e-04
1.719999999999999973e+00 3.406000000000000227e+01 3.060000000000000053e+00 2.790000000000000000e+06 1.360000000000000000e+06 3.159400584725439868e-04 1.326780343706357110e-04
2.149999999999999911e+00 3.767999999999999972e+01 2.479999999999999982e+00 2.560000000000000000e+06 1.060000000000000000e+06 3.037834683149184898e-04 1.276604314569082944e-04
2.580000000000000071e+00 3.867999999999999972e+01 2.939999999999999947e+00 1.920000000000000000e+06 8.800000000000000000e+05 1.550539599849194326e-04 6.858148103338363040e-05
3.009999999999999787e+00 4.032000000000000028e+01 4.669999999999999929e+00 1.600000000000000000e+06 8.800000000000000000e+05 7.187975855619754503e-05 3.573011018616319763e-05
3.439999999999999947e+00 4.367000000000000171e+01 3.520000000000000018e+00 1.680000000000000000e+06 8.700000000000000000e+05 4.088883788256133270e-05 2.409692603401985937e-05
3.870000000000000107e+00 4.493999999999999773e+01 2.870000000000000107e+00 1.890000000000000000e+06 7.300000000000000000e+05 3.287438276171022984e-05 2.116698996530447179e-05
4.309999999999999609e+00 4.811999999999999744e+01 4.110000000000000320e+00 1.750000000000000000e+06 5.100000000000000000e+05 2.232342993073056968e-05 1.793450397371539883e-05
4.740000000000000213e+00 4.982999999999999829e+01 3.359999999999999876e+00 1.370000000000000000e+06 4.700000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00
5.169999999999999929e+00 5.142999999999999972e+01 9.160000000000000142e+00 9.700000000000000000e+05 4.800000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00
