R[kpc] Vrot[km/s] e_Vrot[km/s] Sigma_gas[Msun/kpc2] e_Sigma_gas[Msun/kpc2] Sigma_SFR[Msun/yr/kpc2] e_Sigma_SFR[Msun/yr/kpc2]
1.404988728092502415e+00 5.696424633746881483e+01 1.185550011008040450e+01 8.659999467345843092e+06 1.700030138153369306e+06 7.725854975336452109e-03 3.732099308892261168e-03
1.806414078976074311e+00 7.171143402650770327e+01 9.343004371459553425e+00 7.540617069988145493e+06 1.352417117193863261e+06 3.757535975378424511e-03 1.099214374816505574e-03
2.207839429859646874e+00 7.988772948181789957e+01 7.893079969760679049e+00 6.601440321883624420e+06 1.036155387212345260e+06 2.954655918148265357e-03 3.817479227848427767e-04
2.609264780743218548e+00 8.688382680626394006e+01 5.028670012058824135e+00 6.684136071626099758e+06 1.017702385484589846e+06 2.809809706130585345e-03 2.001086739823245970e-04
3.010690131626790667e+00 9.268552155410860394e+01 4.528386179241238096e+00 6.928831821368575096e+06 1.034207568230375298e+06 2.870025255988280493e-03 1.828245103133522816e-04
3.412115482510363229e+00 1.000172711426505145e+02 5.032235568032863426e+00 7.524520907984221354e+06 1.171270062365097692e+06 3.258044530428853055e-03 3.365683519413770631e-04
3.813540833393934903e+00 1.113879937061112742e+02 4.113051400151450210e+00 8.229327835212217644e+06 1.308097694873717148e+06 3.579799413025947039e-03 4.806488018202897125e-04
4.214966184277508354e+00 1.187823774871235827e+02 4.028507041428498248e+00 8.535945770285978913e+06 1.368244002792235231e+06 3.733539917866828244e-03 6.002275743039498261e-04
4.616391535161079140e+00 1.295756395610848415e+02 4.470829477801887109e+00 8.722400856404140592e+06 1.337053338533521397e+06 3.546837969639058015e-03 5.967065148021198943e-04
5.017816886044652591e+00 1.356412363948684288e+02 5.373587879439646109e+00 4.983000000000000931e+06 5.794425684485005913e+05 3.263438887733893356e-03 5.558767264434383510e-04
5.419242236928222489e+00 1.382780436675613771e+02 5.594931286498929346e+00 5.115000000000000000e+06 5.322658614113159711e+05 2.868094384104400915e-03 4.240962066415908827e-04
5.820667587811797716e+00 1.400075678161443591e+02 7.138222032246598125e+00 5.199000000000000000e+06 5.370366249999998836e+05 2.470551472614400390e-03 3.121220672235325310e-04
6.222092938695367614e+00 1.373362908380069030e+02 6.104114026985284269e+00 5.281000000000000931e+06 6.305466748768473044e+05 2.067893516691786913e-03 2.462315129002137499e-04
6.623518289578938401e+00 1.385924925579360831e+02 4.437000536188957511e+00 5.292000000000000931e+06 7.592109403810695512e+05 1.770541008628092423e-03 2.170295831725745875e-04
7.024943640462512739e+00 1.426934237553523417e+02 3.653109908125475869e+00 5.332000000000000931e+06 8.867437461866991362e+05 1.560720753849852366e-03 2.170295831725745875e-04
7.426368991346085302e+00 1.438401980150878501e+02 2.939122316386936884e+00 5.294000000000000000e+06 1.004212661339889397e+06 1.406979267600987852e-03 2.170295831725745875e-04
7.827794342229656976e+00 1.452952542982591524e+02 3.013461278898601048e+00 5.277000000000000000e+06 1.076980764488285873e+06 1.262558272282701807e-03 2.123682129497316028e-04
8.229219693113227763e+00 1.460887957044101029e+02 3.676874851435498304e+00 5.276000000000000000e+06 1.056219123997532530e+06 1.138094148997925627e-03 1.977259983989474411e-04
8.630645043996800325e+00 1.475427143882073153e+02 3.448202201305305081e+00 5.295000000000000000e+06 1.049473985239852220e+06 1.080236436727653867e-03 2.013117494188296707e-04
