R[kpc] Vrot[km/s] e_Vrot[km/s] Sigma_gas[Msun/kpc2] e_Sigma_gas[Msun/kpc2] Sigma_SFR[Msun/yr/kpc2] e_Sigma_SFR[Msun/yr/kpc2]
4.799999999999999822e-01 6.009999999999999787e+00 2.479999999999999982e+00 5.060000000000000000e+06 1.010000000000000000e+06 9.380966195393845549e-04 3.813252498757333442e-04
7.099999999999999645e-01 9.650000000000000355e+00 4.480000000000000426e+00 5.040000000000000000e+06 1.070000000000000000e+06 1.049394658558774288e-03 4.265284334857828794e-04
9.499999999999999556e-01 1.457000000000000028e+01 4.660000000000000142e+00 4.760000000000000000e+06 1.440000000000000000e+06 5.938065395836461015e-04 2.421425845413024741e-04
1.189999999999999947e+00 1.994000000000000128e+01 4.549999999999999822e+00 4.260000000000000000e+06 1.170000000000000000e+06 4.895667276576080862e-04 1.998841242033859108e-04
1.429999999999999938e+00 2.312999999999999901e+01 3.799999999999999822e+00 3.910000000000000000e+06 1.030000000000000000e+06 4.114991280857044353e-04 1.683767001616862265e-04
1.659999999999999920e+00 2.803000000000000114e+01 2.600000000000000089e+00 3.700000000000000000e+06 1.120000000000000000e+06 2.618923123737739887e-04 1.084346076080222447e-04
1.899999999999999911e+00 2.907000000000000028e+01 1.949999999999999956e+00 3.660000000000000000e+06 1.100000000000000000e+06 1.539520142335291833e-04 6.540965943448075887e-05
2.140000000000000124e+00 3.183999999999999986e+01 1.310000000000000053e+00 3.630000000000000000e+06 1.390000000000000000e+06 1.242225087762968672e-04 5.337625391039833411e-05
2.379999999999999893e+00 3.260999999999999943e+01 1.679999999999999938e+00 3.360000000000000000e+06 1.390000000000000000e+06 1.233288207637340454e-04 5.264807746977275183e-05
2.609999999999999876e+00 3.359000000000000341e+01 1.580000000000000071e+00 2.840000000000000000e+06 1.110000000000000000e+06 1.052837931625816222e-04 4.560898055555519004e-05
2.850000000000000089e+00 3.531000000000000227e+01 1.570000000000000062e+00 2.250000000000000000e+06 1.020000000000000000e+06 5.605295953846947790e-05 2.700934128424725331e-05
3.089999999999999858e+00 3.636999999999999744e+01 2.310000000000000053e+00 1.740000000000000000e+06 1.010000000000000000e+06 2.722475120058292109e-05 1.714831622186461065e-05
3.330000000000000071e+00 3.682000000000000028e+01 2.990000000000000213e+00 1.290000000000000000e+06 8.600000000000000000e+05 1.872458432256826925e-05 1.611037658597231593e-05
