R[kpc] Vrot[km/s] e_Vrot[km/s] Sigma_gas[Msun/kpc2] e_Sigma_gas[Msun/kpc2] Sigma_SFR[Msun/yr/kpc2] e_Sigma_SFR[Msun/yr/kpc2]
2.159842920514871978e-01 1.214370000000000118e+02 1.704350000000000165e+01 1.809515529411764443e+07 3.336465331413525157e+06 2.519130040281781363e-02 2.825225138462280489e-03
6.479528761544615101e-01 1.540364435677405481e+02 1.489773409206603283e+01 1.689814467720323429e+07 3.055075864584505558e+06 2.673344742210637462e-02 2.160482640257254359e-03
1.079921460257436072e+00 1.651039881463166239e+02 7.896273089229874920e+00 1.468020413589994237e+07 2.551150270768058486e+06 2.456709218072818113e-02 1.479572487796785348e-03
1.511890044360410190e+00 1.800451966038833689e+02 5.424628936077375840e+00 1.222694084908345528e+07 1.920355217338831164e+06 2.083575850995336362e-02 1.017483788191962234e-03
1.943858628463384308e+00 1.838507554723293254e+02 4.630759672023851081e+00 1.146357501682888716e+07 1.728881585461463081e+06 1.765833972938441604e-02 7.154379082471249438e-04
2.375827212566358870e+00 1.930503194676750809e+02 4.719464402588902985e+00 1.142721366180213913e+07 1.673712318223769777e+06 1.511217151197664747e-02 5.888068143249728910e-04
2.807795796669332766e+00 1.979606795505781065e+02 4.363668278670642664e+00 1.161079445057899505e+07 1.675813477053429466e+06 1.257666748438331442e-02 5.865610658322131452e-04
3.239764380772307995e+00 1.999089380772307720e+02 4.224076085375608969e+00 1.114875547780515254e+07 1.694814121793437283e+06 1.000973334599641537e-02 5.827282479001822833e-04
3.671732964875281446e+00 1.962372716529707475e+02 4.510322903788816618e+00 1.077553613978284225e+07 1.677680824773062719e+06 8.078640164554819203e-03 5.411819760069460066e-04
4.103701548978256675e+00 1.914133333939349768e+02 4.124766671514800365e+00 1.070560850298670307e+07 1.631800261795731029e+06 7.147988407535334557e-03 5.234546920859819681e-04
4.535670133081231903e+00 1.922713417933241260e+02 1.212225456330442208e+00 1.108448921227942035e+07 1.681477195737876697e+06 6.810324124516788785e-03 5.744792058038091344e-04
4.967638717184205355e+00 1.955412636171915040e+02 2.485932041306088802e+00 1.190847018290977553e+07 1.825748747424014611e+06 7.081489373760077415e-03 7.220247330048542266e-04
5.399607301287178807e+00 1.988429984001164144e+02 2.502485910115627821e+00 1.256927949486092478e+07 1.932773629134805175e+06 7.331577569774479913e-03 8.984868778583089298e-04
5.831575885390154923e+00 2.006372397280198356e+02 3.162351556250457385e+00 1.235531795327332616e+07 1.930121042100382736e+06 6.650365279181215568e-03 7.314357711812745529e-04
6.263544469493128375e+00 2.024900460693768309e+02 3.501143062322740196e+00 1.167623821848579496e+07 1.977790345785696991e+06 5.658570355145819790e-03 5.385745461540004941e-04
