R[kpc] Vrot[km/s] e_Vrot[km/s] Sigma_gas[Msun/kpc2] e_Sigma_gas[Msun/kpc2] Sigma_SFR[Msun/yr/kpc2] e_Sigma_SFR[Msun/yr/kpc2]
1.900000000000000022e-01 9.929999999999999716e+00 2.000000000000000000e+00 4.960000000000000000e+06 1.180000000000000000e+06 5.521449622395594803e-04 2.199119809890750902e-04
3.699999999999999956e-01 1.676999999999999957e+01 3.209999999999999964e+00 6.010000000000000000e+06 1.440000000000000000e+06 6.032854771674448337e-04 2.401244728205653950e-04
5.600000000000000533e-01 2.030000000000000071e+01 2.700000000000000178e+00 5.930000000000000000e+06 1.810000000000000000e+06 6.361520077318188375e-04 2.531806232243143172e-04
7.500000000000000000e-01 2.439000000000000057e+01 2.870000000000000107e+00 5.370000000000000000e+06 1.740000000000000000e+06 8.207742583312041106e-04 3.265660956515447667e-04
9.300000000000000488e-01 2.814999999999999858e+01 2.700000000000000178e+00 5.020000000000000000e+06 1.840000000000000000e+06 9.336276780187561814e-04 3.714321763942310265e-04
1.120000000000000107e+00 3.173999999999999844e+01 2.439999999999999947e+00 5.210000000000000000e+06 2.270000000000000000e+06 5.303591105598789556e-04 2.112228376539336885e-04
1.310000000000000053e+00 3.389000000000000057e+01 2.560000000000000053e+00 5.150000000000000000e+06 2.540000000000000000e+06 6.020839265101325059e-04 2.396941154007125175e-04
1.489999999999999991e+00 3.650999999999999801e+01 2.990000000000000213e+00 4.580000000000000000e+06 2.410000000000000000e+06 5.580630118114066974e-04 2.222163324401606470e-04
1.679999999999999938e+00 3.861999999999999744e+01 2.839999999999999858e+00 4.139999999999999534e+06 2.160000000000000000e+06 5.591224776423130757e-04 2.226382034588570672e-04
1.870000000000000107e+00 4.050000000000000000e+01 2.899999999999999911e+00 3.650000000000000000e+06 1.930000000000000000e+06 4.973772991743837446e-04 1.981236254033443738e-04
2.049999999999999822e+00 4.318999999999999773e+01 3.140000000000000124e+00 3.230000000000000000e+06 1.600000000000000000e+06 3.874114985711685569e-04 1.544912116032645417e-04
2.240000000000000213e+00 4.418999999999999773e+01 3.490000000000000213e+00 2.860000000000000000e+06 1.260000000000000000e+06 2.695469768070776718e-04 1.077695159642564455e-04
2.430000000000000160e+00 4.439000000000000057e+01 3.290000000000000036e+00 2.550000000000000000e+06 1.030000000000000000e+06 1.194832115475154071e-04 4.886196618644026048e-05
2.609999999999999876e+00 4.413000000000000256e+01 3.399999999999999911e+00 1.890000000000000000e+06 9.800000000000000000e+05 5.108015162514416106e-05 2.283128605819765289e-05
2.799999999999999822e+00 4.675000000000000000e+01 5.089999999999999858e+00 1.250000000000000000e+06 7.700000000000000000e+05 2.245956417636804739e-05 1.306158174322351502e-05
