R[kpc] Vrot[km/s] e_Vrot[km/s] Sigma_gas[Msun/kpc2] e_Sigma_gas[Msun/kpc2] Sigma_SFR[Msun/yr/kpc2] e_Sigma_SFR[Msun/yr/kpc2]
2.500000000000000000e-01 5.790000000000000036e+00 1.014000000000000057e+01 9.430000000000000000e+06 1.680000000000000000e+06 4.872563724898922900e-03 1.937593728886359730e-03
4.899999999999999911e-01 1.302999999999999936e+01 2.759999999999999787e+00 8.160000000000000000e+06 2.660000000000000000e+06 6.414463967407181728e-03 2.550656710069860219e-03
7.399999999999999911e-01 2.917999999999999972e+01 4.580000000000000071e+00 7.500000000000000000e+06 3.180000000000000000e+06 4.855246197842454786e-03 1.930693458306265587e-03
9.899999999999999911e-01 3.467000000000000171e+01 4.799999999999999822e+00 7.380000000000000000e+06 3.620000000000000000e+06 3.382613923636384416e-03 1.345193817113911425e-03
1.239999999999999991e+00 3.988000000000000256e+01 5.019999999999999574e+00 6.760000000000000000e+06 3.830000000000000000e+06 2.893938455153667339e-03 1.150925876955007001e-03
1.479999999999999982e+00 4.007999999999999829e+01 7.459999999999999964e+00 6.810000000000000000e+06 4.430000000000000000e+06 2.850224136219845460e-03 1.133491486900482532e-03
1.729999999999999982e+00 4.317000000000000171e+01 5.620000000000000107e+00 6.860000000000000000e+06 4.260000000000000000e+06 2.494777503542945727e-03 9.921757536692896087e-04
1.979999999999999982e+00 4.171999999999999886e+01 5.540000000000000036e+00 7.110000000000000000e+06 4.139999999999999534e+06 2.370512109883389246e-03 9.427690225594063684e-04
2.229999999999999982e+00 4.160000000000000142e+01 5.639999999999999680e+00 7.420000000000000000e+06 4.110000000000000466e+06 2.190494948035522776e-03 8.711937093284487666e-04
2.470000000000000195e+00 4.027000000000000313e+01 6.610000000000000320e+00 7.640000000000000000e+06 4.040000000000000000e+06 2.596697593806080069e-03 1.032689743884287765e-03
2.720000000000000195e+00 4.081000000000000227e+01 6.019999999999999574e+00 7.000000000000000000e+06 3.320000000000000000e+06 2.436230194364765768e-03 9.688712974408508673e-04
2.970000000000000195e+00 4.085000000000000142e+01 4.389999999999999680e+00 6.570000000000000000e+06 2.560000000000000000e+06 1.347074843523593827e-03 5.359299997507158998e-04
3.209999999999999964e+00 3.897999999999999687e+01 3.919999999999999929e+00 6.640000000000000000e+06 2.610000000000000000e+06 8.352484808670573510e-04 3.325638087612554699e-04
3.459999999999999964e+00 3.817999999999999972e+01 4.009999999999999787e+00 6.330000000000000000e+06 3.030000000000000000e+06 6.070480743109230894e-04 2.419408498787985261e-04
3.709999999999999964e+00 3.722999999999999687e+01 3.899999999999999911e+00 5.410000000000000000e+06 2.750000000000000000e+06 4.270866237475690269e-04 1.705600297218878131e-04
3.959999999999999964e+00 3.861999999999999744e+01 4.099999999999999645e+00 4.580000000000000000e+06 2.400000000000000000e+06 2.956876261405732447e-04 1.186027356496575377e-04
4.200000000000000178e+00 4.236999999999999744e+01 3.609999999999999876e+00 3.940000000000000000e+06 2.290000000000000000e+06 2.096332024328911186e-04 8.465287137823440861e-05
4.450000000000000178e+00 4.413000000000000256e+01 3.620000000000000107e+00 3.460000000000000000e+06 2.100000000000000000e+06 1.902270361234688876e-04 7.697800804720391537e-05
4.700000000000000178e+00 4.314999999999999858e+01 3.750000000000000000e+00 3.090000000000000000e+06 1.670000000000000000e+06 1.702048056602263300e-04 6.900545676629962300e-05
4.950000000000000178e+00 4.389999999999999858e+01 3.720000000000000195e+00 2.860000000000000000e+06 1.270000000000000000e+06 1.429799035923024365e-04 5.834308425130540896e-05
5.190000000000000391e+00 4.174000000000000199e+01 4.259999999999999787e+00 2.820000000000000000e+06 1.270000000000000000e+06 9.279006349027323064e-05 3.892463528870351516e-05
5.440000000000000391e+00 3.888000000000000256e+01 5.120000000000000107e+00 2.750000000000000000e+06 1.300000000000000000e+06 6.080279232968439798e-05 2.698997383787033461e-05
5.690000000000000391e+00 3.746999999999999886e+01 6.250000000000000000e+00 2.460000000000000000e+06 1.210000000000000000e+06 0.000000000000000000e+00 0.000000000000000000e+00
5.929999999999999716e+00 3.681000000000000227e+01 7.469999999999999751e+00 2.020000000000000000e+06 1.080000000000000000e+06 0.000000000000000000e+00 0.000000000000000000e+00
6.179999999999999716e+00 3.872999999999999687e+01 9.619999999999999218e+00 1.500000000000000000e+06 9.400000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00
6.429999999999999716e+00 3.632999999999999829e+01 1.014000000000000057e+01 1.020000000000000000e+06 8.500000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00
