R[kpc] Vrot[km/s] e_Vrot[km/s] Sigma_gas[Msun/kpc2] e_Sigma_gas[Msun/kpc2] Sigma_SFR[Msun/yr/kpc2] e_Sigma_SFR[Msun/yr/kpc2]
4.500000000000000111e-01 1.175999999999999979e+01 3.140000000000000124e+00 3.180000000000000000e+06 5.200000000000000000e+05 6.773354853153025316e-04 2.741349002953980614e-04
9.000000000000000222e-01 1.991000000000000014e+01 4.330000000000000071e+00 3.230000000000000000e+06 4.800000000000000000e+05 3.596531112834120444e-04 1.464887318138500085e-04
1.350000000000000089e+00 2.853000000000000114e+01 3.020000000000000018e+00 2.890000000000000000e+06 6.700000000000000000e+05 3.369178800928040269e-04 1.370550851451807770e-04
1.800000000000000044e+00 3.482000000000000028e+01 2.729999999999999982e+00 2.390000000000000000e+06 6.900000000000000000e+05 2.952282062425109436e-04 1.206170106474918543e-04
2.250000000000000000e+00 3.706000000000000227e+01 3.470000000000000195e+00 2.190000000000000000e+06 5.900000000000000000e+05 2.373416825721089043e-04 9.791101878432104100e-05
2.700000000000000178e+00 3.959000000000000341e+01 3.680000000000000160e+00 2.029999999999999767e+06 7.300000000000000000e+05 1.701300090166875693e-04 7.206808512291737012e-05
3.149999999999999911e+00 4.335999999999999943e+01 3.259999999999999787e+00 2.089999999999999767e+06 6.900000000000000000e+05 1.033559199485493474e-04 4.768086672167397500e-05
3.600000000000000089e+00 4.375999999999999801e+01 4.360000000000000320e+00 2.140000000000000000e+06 6.500000000000000000e+05 5.120051863132440767e-05 3.264311995926643013e-05
4.040000000000000036e+00 4.728999999999999915e+01 4.389999999999999680e+00 2.040000000000000000e+06 6.800000000000000000e+05 1.518718898760912343e-05 1.086030499909722418e-05
4.490000000000000213e+00 4.874000000000000199e+01 4.889999999999999680e+00 1.830000000000000000e+06 6.300000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00
4.940000000000000391e+00 5.028000000000000114e+01 6.320000000000000284e+00 1.560000000000000000e+06 5.900000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00
5.389999999999999680e+00 5.200999999999999801e+01 3.910000000000000142e+00 1.210000000000000000e+06 5.100000000000000000e+05 0.000000000000000000e+00 0.000000000000000000e+00
