R[kpc] Vrot[km/s] e_Vrot[km/s] Sigma_gas[Msun/kpc2] e_Sigma_gas[Msun/kpc2] Sigma_SFR[Msun/yr/kpc2] e_Sigma_SFR[Msun/yr/kpc2]
2.351999999999999869e+00 2.237680000000000007e+02 2.915099999999999980e+01 4.702535000000000000e+06 3.669434598418965004e+06 1.683751185305646519e-02 2.198827357961514149e-03
2.779999999999999805e+00 2.328040000000000020e+02 1.850400000000000134e+01 6.459760000000000000e+06 5.219178511873250827e+06 1.840756300565576584e-02 1.978414117811037355e-03
3.206999999999999851e+00 2.530180000000000007e+02 1.194050000000000011e+01 6.614907000000000931e+06 4.416640010363445617e+06 1.924720085808511588e-02 1.633067991634612947e-03
3.634999999999999787e+00 2.574950000000000045e+02 1.518549999999999933e+01 7.139307000000000931e+06 4.221164102316544391e+06 1.719319057957859054e-02 1.793644104563436089e-03
4.062000000000000277e+00 2.559259999999999877e+02 9.980499999999999261e+00 7.784375000000000000e+06 4.283842932030223310e+06 1.515158260832564011e-02 1.885467706085599540e-03
4.490000000000000213e+00 2.601630000000000109e+02 1.046299999999999919e+01 8.404009000000000000e+06 3.641225980459746439e+06 1.311765984356001551e-02 1.865392592044536882e-03
4.918000000000000149e+00 2.622729999999999677e+02 7.932999999999999829e+00 9.196954000000000000e+06 3.100257935268881265e+06 1.102406537747480965e-02 1.721045194677884096e-03
5.344999999999999751e+00 2.637160000000000082e+02 9.544999999999999929e+00 9.050314000000000000e+06 3.280117619553178549e+06 8.964099460484748969e-03 1.529839394990265824e-03
5.772999999999999687e+00 2.605070000000000050e+02 9.541999999999999815e+00 9.072851000000000000e+06 3.866673555221864954e+06 7.319046007347076999e-03 1.301522946853935370e-03
6.200000000000000178e+00 2.576320000000000050e+02 1.018650000000000055e+01 9.409123000000000000e+06 3.845730069272964727e+06 5.780812493590898812e-03 1.064556094742046379e-03
6.627999999999999226e+00 2.509329999999999927e+02 9.126500000000000057e+00 9.653378000000000000e+06 4.110796418122314382e+06 4.576497846474648738e-03 7.969327531089635168e-04
7.056000000000000050e+00 2.548220000000000027e+02 6.025000000000000355e+00 1.004228100000000000e+07 4.328789688149032183e+06 3.768372846165934063e-03 5.853347319046436252e-04
7.482999999999999652e+00 2.572769999999999868e+02 4.118999999999999773e+00 1.041413100000000000e+07 4.123414348471681122e+06 3.227703968267158028e-03 4.117851621368611359e-04
7.911000000000000476e+00 2.594990000000000236e+02 6.313500000000000334e+00 1.110785500000000000e+07 3.915894210733395535e+06 2.955603636784413183e-03 3.534765296905852052e-04
8.339000000000000412e+00 2.580609999999999786e+02 8.500000000000000000e+00 1.191980700000000000e+07 4.038967530856614932e+06 2.683803519996979300e-03 3.042973095193583625e-04
9.193999999999999062e+00 2.493170000000000073e+02 1.161350000000000016e+01 1.186020300000000000e+07 4.859923189647183754e+06 2.095724520130397284e-03 2.195082156098375329e-04
9.621000000000000441e+00 2.453690000000000282e+02 8.900999999999999801e+00 1.117421800000000000e+07 4.967138365129622631e+06 1.807277154454296720e-03 1.734399063009144744e-04
1.004899999999999949e+01 2.447040000000000077e+02 7.558999999999998387e+00 1.109107100000000186e+07 4.512927426058032550e+06 1.619936289420697249e-03 1.399867561024071227e-04
1.047700000000000031e+01 2.437790000000000248e+02 8.548000000000000043e+00 1.175869500000000000e+07 4.879062072114443406e+06 1.451966116695072506e-03 1.176011810748604157e-04
