r[kpc] vrot[km/s] vstars[km/s] Sigma_star[Msun/pc2] jstar[kpckm/s] evstars[km/s]
0.8600 281.2200 283.6745 3673.4981 0.0000 10.0456
1.7300 267.4700 266.4595 762.2786 307.8703 10.0957
2.5900 294.0100 290.7783 334.2640 395.3487 10.2790
3.4500 282.1200 277.0079 200.7122 479.6909 10.4608
4.3100 285.7900 279.5558 137.9664 559.2769 10.5553
5.1800 301.5200 294.8856 107.8520 646.4981 10.5601
6.0400 317.0300 310.3376 92.9961 746.2650 10.5372
6.9000 320.6100 313.8341 86.3520 860.0176 10.5379
7.7600 319.4800 312.6904 88.8531 990.0334 10.5409
8.6300 321.2300 314.6177 80.7677 1131.3998 10.5238
9.4900 322.9800 316.6327 82.2939 1280.9023 10.4999
10.3500 319.3900 313.2643 59.3171 1418.2824 10.4879
11.2100 300.1200 293.9507 44.1352 1522.4008 10.5231
12.0800 304.7500 299.0589 41.3708 1616.4070 10.4749
12.9400 302.9800 297.6473 29.7775 1702.6055 10.4475
13.8000 301.1600 296.1900 22.5622 1773.1555 10.4195
14.6600 295.7700 291.1037 16.7062 1831.5076 10.4009
15.5300 290.9900 286.6399 14.3372 1882.7593 10.3798
16.3900 278.9100 274.7573 11.3171 1927.4030 10.3783
17.2500 283.3600 279.6356 9.7103 1967.4380 10.3338
18.1100 280.6900 277.2728 8.2041 2005.6919 10.3091
18.9800 273.0600 269.8789 7.0254 2041.1304 10.2957
19.8400 270.6700 267.7682 6.2508 2073.9095 10.2721
20.7000 270.3800 268.1384 5.8813 2106.6995 10.2103
21.5600 271.2000 269.7245 5.6947 2141.1304 10.1379
22.4300 267.8200 266.5616 5.0708 2176.1505 10.1191
23.2900 263.4100 262.0739 4.6842 2209.4409 10.1285
24.1500 243.6700 242.1639 4.2224 2239.9649 10.1567
25.0100 231.2600 229.6081 3.8240 2266.7203 10.1811
25.8800 225.3500 223.5874 2.8308 2289.3026 10.1983
26.7400 219.7300 217.8540 2.3553 2307.3207 10.2165
27.6000 211.7400 209.7220 1.6537 2321.5764 10.2418
28.4600 208.3000 206.1765 1.0061 2331.2832 10.2587
29.3300 201.6300 199.3604 0.6058 2337.4616 10.2857
30.1900 204.2100 201.8960 0.6987 2342.7368 10.2876
31.0500 193.2300 190.7053 0.5736 2348.0514 10.3318
31.9100 203.1600 200.6864 0.4709 2352.6794 10.3091
32.7800 203.7400 201.1991 0.3857 2356.9782 10.3166
33.6400 203.6500 201.0343 0.3166 2360.7048 10.3261
34.5000 203.1300 200.4336 0.2599 2363.9551 10.3371
