r[kpc] vrot[km/s] vstars[km/s] Sigma_star[Msun/pc2] jstar[kpckm/s] evstar[km/s]
0.8700 27.3000 25.8997 397.1600 0.0000 6.6626
1.7400 52.7000 47.5219 194.5100 52.2990 8.3498
2.7100 69.2000 63.8975 137.1300 94.0060 7.9729
3.5800 83.5000 78.9547 91.6300 135.9772 7.3002
4.4500 95.9000 92.3034 43.1950 173.4210 6.9182
5.3200 110.0000 107.0412 11.8050 197.3115 8.0335
