r[kpc] vrot[km/s] vstars[km/s] Sigma_star[Msun/pc2] jstar[kpckm/s] evstar[km/s]
0.8700 42.2000 35.9008 444.1000 0.0000 10.1538
1.7400 79.9000 72.6552 229.8150 79.6447 7.6330
2.7100 112.0000 107.1631 128.5200 143.0238 7.0082
3.5800 127.0000 124.1671 88.8750 207.4179 5.3555
4.4500 130.0000 128.1211 49.1050 262.2067 5.1962
5.3200 133.0000 130.9357 21.3750 299.1809 4.8319
6.2000 136.0000 133.5833 6.6400 319.6308 7.7187
