r[kpc] vrot[km/s] vstars[km/s] Sigma_star[Msun/pc2] jstar[kpckm/s] evstars[km/s]
0.3300 26.4600 37.5999 724.6608 0.0000 9.8553
1.0000 52.4600 48.4149 219.5987 29.6446 11.5683
1.6600 73.7600 66.1646 142.4879 54.6918 12.1314
2.3300 87.8500 79.2704 113.2635 88.3110 12.0140
2.9900 98.6400 90.1558 103.9864 129.1126 11.7598
3.6600 111.9800 104.4045 95.3906 179.2124 11.3675
4.3200 123.9300 117.3309 84.3020 235.3422 11.0667
4.9900 133.8900 128.1936 69.3321 294.3341 10.8468
5.6500 141.5700 136.6545 55.2524 350.6845 10.6878
6.3200 146.7200 142.4725 41.8549 403.2152 10.5716
6.9800 146.3100 142.6108 31.6922 448.1819 10.4982
7.6400 145.5600 143.1023 25.1794 487.3958 10.3311
8.3100 147.9100 146.2717 19.7086 523.5924 10.2165
8.9700 149.4800 147.7027 15.7487 556.3339 10.2325
9.6400 151.0000 149.0835 13.2579 587.5507 10.2483
10.3000 151.2800 149.2123 10.4902 615.9805 10.2675
10.9700 153.8600 151.6729 9.0766 643.0717 10.2783
11.6300 157.0600 154.7688 7.5348 669.0150 10.2857
12.3000 159.7000 157.2982 5.3599 692.2341 10.2946
12.9600 161.6800 159.1629 3.7831 710.6516 10.3051
13.6300 161.0000 158.3240 2.7239 725.5403 10.3259
14.2900 158.9300 156.0705 2.2138 737.7526 10.3530
14.9600 156.1600 153.0957 1.8168 748.6722 10.3854
15.6200 152.5100 149.2160 1.5218 758.1790 10.4247
16.2900 151.0900 147.6055 1.4015 767.2274 10.4538
16.9500 152.8600 149.2620 1.3521 776.4253 10.4633
17.6200 153.4400 149.6993 1.3521 786.5169 10.4801
18.2800 154.1800 150.3040 1.1072 796.3200 10.4953
18.9500 154.5300 150.5073 0.8610 804.9565 10.5131
19.6100 155.2700 151.1141 0.8610 813.0613 10.5278
20.2800 156.3900 152.1105 0.7376 821.3101 10.5398
20.9400 155.3500 150.8879 0.7376 829.3710 10.5670
21.6000 153.8800 149.2192 0.6146 837.1523 10.5985
22.2700 153.2800 148.4425 0.7057 845.3390 10.6241
22.9300 152.8100 147.8008 0.7376 854.6523 10.6487
23.6000 152.5300 147.3522 0.5701 863.6655 10.6722
24.2600 152.3900 147.0502 0.4918 871.3038 10.6943
24.9300 151.3200 145.7802 0.4937 878.8926 10.7261
25.5900 150.2900 144.5510 0.4918 886.7111 10.7580
26.2600 150.9400 145.0650 0.4918 895.0514 10.7730
26.9200 149.1500 143.0402 0.5585 904.2416 10.8145
27.5900 148.1900 141.8736 0.6146 915.0396 10.8484
28.2500 147.8000 141.3027 0.3690 924.2638 10.8757
28.9200 147.6000 140.9272 0.4918 932.9113 10.9012
29.5800 148.8000 142.0208 0.3690 941.8011 10.9084
30.2500 149.3200 142.4009 0.4276 950.6598 10.9243
30.9100 155.6000 148.8177 0.3690 960.0158 10.8681
31.5800 157.2600 150.3966 0.2460 967.9240 10.8692
32.2400 157.1100 150.0858 0.3690 976.1874 10.8910
32.9100 156.2300 149.0070 0.3583 986.4203 10.9222
33.5700 157.0000 149.6598 0.3583 996.7458 10.9329
34.2400 157.0000 149.5030 0.3583 1007.6692 10.9534
34.9000 158.8200 151.2604 0.3583 1018.9248 10.9502
35.5600 157.9800 150.2244 0.3583 1030.6362 10.9809
36.2300 157.7200 149.7944 0.3583 1042.8911 11.0048
36.8900 157.1000 148.9865 0.3583 1055.3344 11.0336
37.5600 156.9600 148.6811 0.3583 1068.3511 11.0563
38.2200 156.5300 148.0711 0.3583 1081.5636 11.0831
