r[kpc] vrot[km/s] vstars[km/s] Sigma_star[Msun/pc2] jstar[kpckm/s] evstar[km/s]
0.8700 39.3000 38.0642 127.8800 0.0000 7.1602
1.7400 54.6000 47.8459 111.9250 65.0237 7.9361
2.6100 65.5000 57.9560 79.5250 95.3072 8.8119
3.5000 83.9000 77.7497 50.4150 135.0824 6.5981
4.3700 94.3000 89.0890 35.7800 179.6674 7.3000
5.2400 104.0000 99.8153 25.5450 225.3367 6.4454
6.1100 115.0000 112.5082 19.7050 273.5984 5.5187
6.9800 127.0000 125.4281 15.5000 325.6787 5.3398
7.8500 129.0000 127.2096 10.4100 373.4371 5.3688
8.7200 127.0000 124.9334 6.8650 410.4460 5.4149
9.6000 124.0000 121.6254 4.8700 439.5117 5.4703
10.4700 122.0000 119.3265 3.4350 462.6570 4.3839
