j_acc_kpc_km_s,j_bar_kpc_km_s,f_gas,j_gas_kpc_km_s,j_star_kpc_km_s
219.78598727848254,219.85771794223544,0.05059546037513167,637.158818612708,197.61899838459126
439.5719745569651,439.68100828151057,0.09808664486090501,1037.7846026827156,374.63487661067603
659.3579618354477,659.484801848928,0.14849758233590457,1372.1560718524504,535.1986478693512
879.1439491139301,879.2796392110081,0.20060091730051074,1670.416074886194,680.752147572694
1098.9299363924126,1099.077833921735,0.2531169864829898,1944.5093810122517,812.5629693386891
1318.715923670895,1318.8600351834275,0.3050783843014938,2200.320530861442,931.8889901444257
1538.5019109493778,1538.609496848895,0.3557944644390076,2441.4654635315464,1039.962500821953
1758.2878982278603,1758.3423349553527,0.4047889313590707,2670.5209242121764,1137.9913102390362
1978.0738855063428,1978.0195965998003,0.4517266981962181,2889.455778211373,1227.0801370612214
2197.8598727848253,2197.5617917823943,0.4963906036233889,3099.795415104303,1308.2608849439541
