j_acc_kpc_km_s,j_bar_kpc_km_s,f_gas,j_gas_kpc_km_s,j_star_kpc_km_s
468.27395137359963,468.50292937995454,0.034844759097396726,1364.6500321343888,436.1495538938451
936.5479027471993,936.9063071060878,0.0775217837542848,2197.2173825860746,830.9942531021313
1404.821854120799,1405.2499949729695,0.12564728342504558,2921.0099515323104,1187.430438567646
1873.0958054943985,1873.5388449586437,0.17639844868066476,3577.0573076404953,1508.6803601311458
2341.369756867998,2341.7784703175794,0.2279455047873841,4181.757374685499,1798.5332424806752
2809.643708241598,2809.825477696205,0.2791235540221385,4744.811423309087,2060.598398443094
3277.9176596151974,3276.8763153383106,0.32915606696573685,5271.736435858591,2298.0788945323684
3746.191610988797,3740.8761723539383,0.37748783720219065,5764.582072532946,2513.712417097309
4214.465562362397,4198.520087339736,0.42371265564653837,6223.147739366134,2709.921790776489
4682.739513735996,4645.811731895178,0.46754970478287516,6646.504769747397,2888.98400992442
