j_acc_kpc_km_s,j_bar_kpc_km_s,f_gas,j_gas_kpc_km_s,j_star_kpc_km_s
655.390285833478,655.7527885160532,0.0311937474157256,1869.8963793426124,616.6596381594795
1310.780571666956,1311.3471222172006,0.07288263050309748,3047.0036256914127,1174.903543674763
1966.170857500434,1966.8610346389337,0.1205774715880903,4077.7179811728015,1677.441801819376
2621.561143333912,2622.2696599359188,0.17097671009147555,5009.967251723024,2129.833942017615
3276.9514291673904,3277.218342913114,0.22214503787552994,5865.605606926183,2538.00934535103
3932.341715000868,3929.661380532558,0.2728559086336703,6654.264952833816,2907.2722939487926
4587.732000834346,4574.303089228828,0.32222041684380415,7376.294153967827,3242.2199883061066
5243.1222866678245,5202.875514200182,0.36954955697490055,8028.219467125636,3546.750726508109
5898.512572501302,5806.347226135936,0.4143580386948168,8607.864869867646,3824.1952750726523
6553.90285833478,6377.2052080083895,0.4563776858921174,9116.460135089434,4077.566668075799
