j_acc_kpc_km_s,j_bar_kpc_km_s,f_gas,j_gas_kpc_km_s,j_star_kpc_km_s
80.16780633876797,80.14815618793624,0.19069054933148866,147.0220835477295,64.39123411856049
160.33561267753595,160.26772464953473,0.26092492365914244,275.348266268837,119.6394008189788
240.50341901630392,240.3700823828603,0.32062720400790146,392.12848076805807,168.7483288389796
320.6712253550719,320.46047091312613,0.3754660239279308,499.99490514047545,212.52546215434774
400.83903169383984,400.54404153355136,0.42723588493895925,600.388733068174,251.47600219060362
481.0068380326078,480.6224902984443,0.4765812512366727,694.2962480154306,286.0690719315976
561.1746443713758,560.7000860172693,0.5237222328985194,782.5007976765005,316.804670374442
641.3424507101438,640.7789591073266,0.5686625420496728,865.7164226905692,344.2280626206528
721.5102570489117,720.8621322546494,0.6113147702443668,944.6284298335341,368.92788747032984
801.6780633876797,800.9520005262156,0.6515283829377924,1019.946512663192,391.50361684513047
