j_acc_kpc_km_s,j_bar_kpc_km_s,f_gas,j_gas_kpc_km_s,j_star_kpc_km_s
509.3308710571955,509.587957475828,0.03382014067586862,1477.005130159475,475.7245059076082
1018.661742114391,1019.0637444151856,0.07620137425358153,2384.006561853803,906.4737106485314
1527.9926131715865,1528.4756194932145,0.12420251172301783,3174.608006928078,1295.026928574662
2037.323484228782,2037.8257041736908,0.17486521229577218,3891.0727482000143,1645.0796430218752
2546.6543552859775,2547.0945837705385,0.22632499477438806,4550.990150768158,1960.890233538362
3055.985226343173,3055.9637409958923,0.2774070930380101,5164.595288243938,2246.449362741567
3565.3160974003686,3563.074596941172,0.3273208950234607,5736.94359900256,2505.285315017055
4074.646968457564,4065.3470777877355,0.3754886148511573,6269.027579611326,2740.3801374219793
4583.97783951476,4558.259424620098,0.42147973895563506,6759.762584037393,2954.3588537634264
5093.308710571955,5036.804859348459,0.46500511016439966,7207.9796802975725,3149.670223143135
