j_acc_kpc_km_s,j_bar_kpc_km_s,f_gas,j_gas_kpc_km_s,j_star_kpc_km_s
1085.1755496327792,1085.8729807269287,0.027492003651884346,3001.8130625229132,1031.710925583608
2170.3510992655583,2171.45262747061,0.06838752382097979,5002.922452570267,1963.6009562407598
3255.526648898338,3256.850723323174,0.11554052896683509,6748.716612884705,2800.694115615754
4340.702198531117,4340.384492710044,0.1652673345054669,8310.098140111577,3554.4274787152162
5425.877748163897,5411.356788491592,0.21532770924358402,9697.009862353172,4235.299127378378
6511.053297796676,6445.748113979792,0.26392072585569337,10890.254686171867,4852.173288813112
7596.228847429455,7416.034258173547,0.30970883567487395,11881.433547687255,5412.57008790449
8681.404397062235,8302.74417257001,0.3519999799858592,12683.820757364447,5922.9003106353985
9766.579946695014,9097.781281167641,0.39067788884888727,13323.48197305713,6388.39687675819
10851.755496327793,9802.18784531002,0.42600022323195014,13829.481419440735,6813.287795103975
