j_acc_kpc_km_s,j_bar_kpc_km_s,f_gas,j_gas_kpc_km_s,j_star_kpc_km_s
1396.368361055937,1397.3259499465503,0.026238820708288185,3818.3759594695684,1332.088704432326
2792.736722111874,2794.2636590569496,0.06687030839699963,6428.181046221665,2533.8484364403826
4189.105083167811,4190.5522097794665,0.11369747486116716,8690.602998034245,3613.2725599314344
5585.473444223748,5577.158288927603,0.1628031624201533,10674.96942173221,4585.8265774504935
6981.841805279686,6919.427158218175,0.2113035615659743,12347.900734393947,5465.057967975315
8378.210166335622,8168.3544483020805,0.2568532473226932,13683.22836279832,6262.252768640084
9774.578527391559,9289.090539441742,0.2981924453839977,14707.810076244214,6986.719727241982
11170.946888447497,10270.447120718149,0.33515068523542835,15477.151007544111,7645.746550626386
12567.315249503434,11118.340216240143,0.3682241727800471,16049.394933490474,8244.32467787656
13963.68361055937,11846.962897981452,0.39817019101607987,16474.118962551078,8785.639602610876
