j_acc_kpc_km_s,j_bar_kpc_km_s,f_gas,j_gas_kpc_km_s,j_star_kpc_km_s
239.05619353446278,239.13825344297558,0.04784728524224707,699.2275106432572,216.0179896607563
478.11238706892556,478.23953594988524,0.09454991941308503,1132.3856639713154,409.9315584977027
717.1685806033884,717.3178321987059,0.14457170480975942,1495.3340725882847,585.8291558534996
956.2247741378511,956.3805231564548,0.19643644074791913,1820.3370035971186,745.1806323390766
1195.2809676723139,1195.4481037828878,0.24879514960664034,2119.5086004166087,889.4040608228516
1434.3371612067767,1434.5077702082485,0.3006509912453489,2398.86813069041,1019.9280758536657
1673.3933547412396,1673.5281431338524,0.35129660919213324,2662.2165423219385,1138.117218659059
1912.4495482757022,1912.5164891505947,0.40024566740078116,2912.2957586679368,1245.3144378586437
2151.505741810165,2151.413407196948,0.44716430475929303,3151.1860462823674,1342.7416066553021
2390.5619353446277,2390.056255869053,0.4918281958779422,3380.44595049325,1431.5190588581615
