j_acc_kpc_km_s,j_bar_kpc_km_s,f_gas,j_gas_kpc_km_s,j_star_kpc_km_s
73.70551753379341,73.67473031175021,0.21899882737268364,128.9263330482686,58.181749463777926
147.4110350675868,147.32035294050633,0.29226928338705843,242.8124035127692,107.88530718823938
221.1165526013802,220.94967069281194,0.3528659444453548,347.4897478841685,151.95054529514442
294.8220701351736,294.56766286462215,0.407534113248313,444.93661204817784,191.13474337353802
368.527587668967,368.1768969852915,0.4585172802093999,536.2176830671517,225.8831517143427
442.2331052027604,441.78212446449385,0.506690312457373,622.0594848326408,256.6148870057046
515.9386227365538,515.3853430241963,0.552398336667539,703.0605423272444,283.7698768150157
589.6441402703472,588.990754027379,0.5957618548919387,779.7636170784915,307.831748797939
663.3496578041406,662.6006257446019,0.6367691666197225,852.707836286058,329.3293312943657
737.0551753379341,736.2186439004945,0.6753468237089812,922.4451044368235,348.8284755657854
