j_acc_kpc_km_s,j_bar_kpc_km_s,f_gas,j_gas_kpc_km_s,j_star_kpc_km_s
185.78044550916997,185.83418102837712,0.05769549540223906,522.7547573039556,165.2051810983331
371.56089101833993,371.6377092849612,0.10706755165151706,865.3960778610965,312.4333431219092
557.3413365275098,557.4279280513281,0.15838476988601205,1150.2619275652664,445.8616525920517
743.1217820366799,743.2203865783846,0.21101874705257118,1402.4988989403907,566.8915763340385
928.9022275458499,929.009522222503,0.2639064517546229,1632.9828000282043,676.6189255128535
1114.68267305502,1114.772606596279,0.31611665750297346,1847.609421247591,776.0278091329513
1300.4631185641897,1300.5198091070356,0.36699073710788543,2049.8008307418036,866.1198555038948
1486.2435640733597,1486.2523676646024,0.4160628640851772,2241.882069222238,947.8562998663788
1672.0240095825297,1671.963149155744,0.4630105295458354,2425.6067545477817,1022.1460782059617
1857.8044550916998,1857.6341984443502,0.5076215079293674,2602.365915854571,1089.8471332441645
