,t_acc=3Gyr,t_acc=10Gyr,t_acc=25Gyr
0,0.0,0.0,0.0
1,1.6095531580362135,1.6095531580362135,1.6095531580362135
2,2.7069349615058953,2.7069349615058953,2.7069349615058953
3,3.668987782287398,3.668987782287398,3.668987782287398
4,4.552503810910517,4.552503810910517,4.552503810910517
5,5.381865348904503,5.381865348904503,5.381865348904503
6,6.170477347470298,6.170477347470298,6.170477347470298
7,6.926739491741709,6.926739491741709,6.926739491741709
8,7.656368270047057,7.656368270047057,7.656368270047057
9,8.363483541604982,8.363483541604982,8.363483541604982
10,9.051182558543957,9.051182558543957,9.051182558543957
11,9.721870648266854,9.721870648266854,9.721870648266854
12,10.377464563784045,10.377464563784045,10.377464563784045
13,11.019524092330606,11.019524092330606,11.019524092330606
14,11.64934081600388,11.64934081600388,11.64934081600388
15,12.268000042408202,12.268000042408202,12.268000042408202
16,12.876425264289708,12.876425264289708,12.876425264289708
17,13.475410860755392,13.475410860755392,13.475410860755392
18,14.065646658338139,14.065646658338139,14.065646658338139
19,14.647736717526444,14.647736717526444,14.647736717526444
20,15.222213934573116,15.222213934573116,15.222213934573116
21,15.789551553112576,15.789551553112576,15.789551553112576
22,16.350172355375804,16.350172355375804,16.350172355375804
23,16.90445608478278,16.90445608478278,16.90445608478278
24,17.45274550221691,17.45274550221691,17.45274550221691
25,17.995351373842176,17.995351373842176,17.995351373842176
26,18.5325566140855,18.5325566140855,18.5325566140855
27,19.064619753813695,19.064619753813695,19.064619753813695
28,19.591777864492887,19.591777864492887,19.591777864492887
29,20.114249040010176,20.114249040010176,20.114249040010176
30,20.63223451598695,20.63223451598695,20.63223451598695
31,21.14592048982952,21.14592048982952,21.14592048982952
32,21.655479692047162,21.655479692047162,21.655479692047162
33,22.16107274952581,22.16107274952581,22.16107274952581
34,22.662849373760363,22.662849373760363,22.662849373760363
35,23.160949400997882,23.160949400997882,23.160949400997882
36,23.65550370644386,23.65550370644386,23.65550370644386
37,24.146635010847554,24.146635010847554,24.146635010847554
38,24.634458594696394,24.634458594696394,24.634458594696394
39,25.119082932750807,25.119082932750807,25.119082932750807
40,25.600610259615348,25.600610259615348,25.600610259615348
41,26.079137075374987,26.079137075374987,26.079137075374987
42,26.55475459895217,26.55475459895217,26.55475459895217
43,27.0275491757038,27.0275491757038,27.0275491757038
44,27.497602644831797,27.497602644831797,27.497602644831797
45,27.964992671391006,27.964992671391006,27.964992671391006
46,28.429793047015362,28.429793047015362,28.429793047015362
47,28.892073962924318,28.892073962924318,28.892073962924318
48,29.351902258299184,29.351902258299184,29.351902258299184
49,29.80934164671725,29.80934164671725,29.80934164671725
50,30.264452922989786,30.264452922989786,30.264452922989786
51,30.71729415245697,30.71729415245697,30.71729415245697
52,31.167920844542028,31.167920844542028,31.167920844542028
53,31.616386112150543,31.616386112150543,31.616386112150543
54,32.062740818314175,32.062740818314175,32.062740818314175
55,32.5070337113165,32.5070337113165,32.5070337113165
56,32.94931154939829,32.94931154939829,32.94931154939829
57,33.38961921601714,33.38961921601714,33.38961921601714
58,33.827999826530046,33.827999826530046,33.827999826530046
59,34.26449482707357,34.26449482707357,34.26449482707357
60,34.69914408633477,34.69914408633477,34.69914408633477
61,35.131985980833775,35.131985980833775,35.131985980833775
62,35.56305747427543,35.56305747427543,35.56305747427543
63,35.992394191471384,35.992394191471384,35.992394191471384
64,36.42003048728414,36.42003048728414,36.42003048728414
65,36.84599951100099,36.84599951100099,36.84599951100099
66,37.27033326650607,37.27033326650607,37.27033326650607
67,37.6930626685843,37.6930626685843,37.6930626685843
68,38.11421759565996,38.11421759565996,38.11421759565996
69,38.53382693924448,38.53382693924448,38.53382693924448
70,38.95191865034357,38.95191865034357,38.95191865034357
71,39.36851978305137,39.36851978305137,39.36851978305137
72,39.783656535539194,39.783656535539194,39.783656535539194
73,40.19735428862877,40.19735428862877,40.19735428862877
74,40.60963764212309,40.60963764212309,40.60963764212309
75,41.0205304490541,41.0205304490541,41.0205304490541
76,41.43005584799251,41.43005584799251,41.43005584799251
77,41.83823629355363,41.83823629355363,41.83823629355363
78,42.24509358522184,42.24509358522184,42.24509358522184
79,42.65064889460689,42.65064889460689,42.65064889460689
80,43.054922791236024,43.054922791236024,43.054922791236024
81,43.45793526697776,43.45793526697776,43.45793526697776
82,43.859705759186134,43.859705759186134,43.859705759186134
83,44.26025317264694,44.26025317264694,44.26025317264694
84,44.65959590040194,44.65959590040194,44.65959590040194
85,45.05775184352075,45.05775184352075,45.05775184352075
86,45.45473842988562,45.45473842988562,45.45473842988562
87,45.85057263204906,45.85057263204906,45.85057263204906
88,46.245270984220234,46.245270984220234,46.245270984220234
89,46.638849598432245,46.638849598432245,46.638849598432245
90,47.031324179938196,47.031324179938196,47.031324179938196
91,47.42271004188124,47.42271004188124,47.42271004188124
92,47.81302211928039,47.81302211928039,47.81302211928039
93,48.20227498237102,48.20227498237102,48.20227498237102
94,48.59048284933648,48.59048284933648,48.59048284933648
95,48.97765959846484,48.97765959846484,48.97765959846484
96,49.36381877976238,49.36381877976238,49.36381877976238
97,49.748973626053626,49.748973626053626,49.748973626053626
98,50.1331370635956,50.1331370635956,50.1331370635956
99,50.516321722232306,50.516321722232306,50.516321722232306
100,50.89853994511383,50.89853994511383,50.89853994511383
101,51.27980379800284,51.27980379800284,51.27980379800284
102,51.660125078189914,51.660125078189914,51.660125078189914
103,52.03951532303784,52.03951532303784,52.03951532303784
104,52.41798581817384,52.41798581817384,52.41798581817384
105,52.795547605347195,52.795547605347195,52.795547605347195
106,53.172211489969435,53.172211489969435,53.172211489969435
107,53.54798804835229,53.54798804835229,53.54798804835229
108,53.92288763465868,53.92288763465868,53.92288763465868
109,54.29692038758034,54.29692038758034,54.29692038758034
110,54.6700962367554,54.6700962367554,54.6700962367554
111,55.04242490893831,55.04242490893831,55.04242490893831
112,55.41391593393367,55.41391593393367,55.41391593393367
113,55.784578650305306,55.784578650305306,55.784578650305306
114,56.154422210870706,56.154422210870706,56.154422210870706
115,56.52345558799084,56.52345558799084,56.52345558799084
116,56.89168757866479,56.89168757866479,56.89168757866479
117,57.25912680943778,57.25912680943778,57.25912680943778
118,57.62578174113123,57.62578174113123,57.62578174113123
119,57.9916606734025,57.9916606734025,57.9916606734025
120,58.35677174914207,58.35677174914207,58.35677174914207
