Name,Mbar,e_Mbar,jbar,e_jbar,fgas,e_fgas
DDO064,417800000.0,216104141.56142405,65.62742939205361,53.78668901554694,0.8109143130684539,0.13722642053091486
DDO101,89140000.0,99320604.10609673,53.102804577069776,89.84518602132833,0.33138882656495394,0.46616289285121976
DDO126,228118864.3150958,45312756.51563212,61.02888962840821,18.774178354821036,0.8898869482341467,0.04783319987138057
DDO133,294225673.8556405,119513943.9850704,63.276654721405826,39.36631753570471,0.5519572710017151,0.1905732153094223
DDO154,382481536.2149688,57457399.974524945,150.1876457783272,33.296329051989986,0.9699814628214739,0.012877745768358047
DDO168,462576377.1102671,79748962.40549667,102.41159542874303,27.237959684230045,0.8201888785807152,0.06429200439091032
DDO50,1186600000.0,193544620.17839712,129.59703354121018,39.07745043397293,0.8483060846114949,0.04163137022453587
LVHIS009,852038426.4602886,187623599.25265533,141.38462795955795,49.6085112975413,0.8379903744086332,0.06067047501712309
LVHIS012,2037995172.040202,284570064.39539135,295.3033332301003,59.44475530722598,0.8518175233271629,0.045096429483326664
LVHIS025,396200000.0,84426654.55885363,102.19681978798586,33.57175984696647,0.872791519434629,0.05225757407770525
LVHIS030,1355800000.0,286031204.5913872,262.0165511137336,83.3179628148233,0.9706446378521906,0.012828672881026813
LVHIS072,857920922.6666391,140529320.27295658,177.6753963931796,45.63178045978314,0.6560045164193836,0.07445532565036474
LVHIS080,455481338.92335755,112931908.96668263,103.07827862871672,39.496720980946925,0.9221014432617011,0.0367903331332478
NGC0055,5048000000.0,755965105.0147752,354.2671156893819,78.26278121462119,0.5463549920760697,0.07746157962741437
NGC0247,7236000000.0,1121743303.9693172,621.2213930348258,134.83023149525764,0.5107794361525705,0.07828688894375319
NGC0253,59366564210.92617,6831490791.309838,853.9136021557924,148.8785640032122,0.11598815389558156,0.04891586111469981
NGC0300,4955482919.780208,735694015.5966593,461.8166062703331,100.22002237447204,0.5499934040537652,0.07706442765638598
NGC0891,71486000000.0,16847393384.14106,1018.5271521696556,323.2141583409322,0.09772542875528076,0.027955395463199077
NGC1365,128085379704.4404,25712051882.48206,2664.645192237669,884.2777157832846,0.3301343197952395,0.07781240927327858
NGC2366,1106600000.0,221485543.35730916,162.08058919212002,49.94202279227681,0.9096331104283389,0.03514536810903999
NGC2403,11573413251.903492,1586543270.7782152,789.8036635672134,161.36817863149608,0.5141093530917853,0.06872253845310027
NGC2541,5010402778.041122,675737547.9778932,555.5120676571082,104.96582672130867,0.18693107949420687,0.03564971623566343
NGC2903,49471818185.94883,26343364386.186573,829.2518591728727,607.6966485183796,0.19550157120960343,0.11837739423576074
