Name,Mass,e_Mass,j,e_j,fgas,e_fgas,c(lM-lfgas),c(lM-lj),c(lfgas-lj)
NGC0891,6.95e+10,1.68e+10,978.5,66.6,0.07,0.02,-0.79,-0.05,0.41
NGC1365,1.02e+11,2.42e+10,2752.0,579.5,0.16,0.04,-0.78,-0.02,0.13
NGC2841,1.13e+11,2.62e+10,3693.0,183.6,0.16,0.04,-0.83,-0.36,0.61
NGC2998,9.95e+10,3.11e+10,2410.0,391.5,0.21,0.05,-0.44,0.53,0.26
NGC3992,1.20e+11,3.00e+10,4513.0,246.2,0.21,0.05,-0.59,0.47,0.16
NGC4414,6.90e+10,1.88e+10,866.0,71.2,0.02,0.01,-0.82,0.06,0.12
NGC7331,7.15e+10,1.39e+10,2339.0,133.0,0.32,0.06,-0.78,0.20,0.55
UGC02916,9.96e+10,3.03e+10,1828.0,378.7,0.24,0.05,-0.43,0.44,0.33
UGC02953,1.46e+11,8.79e+10,2269.0,577.9,0.07,0.02,-0.25,0.73,0.11
UGC05253,1.16e+11,5.55e+10,2316.0,843.1,0.15,0.04,-0.29,0.65,0.18
UGC06787,6.49e+10,3.26e+10,1328.0,629.5,0.10,0.03,-0.30,0.67,0.19
UGC11914,7.25e+10,4.64e+10,891.7,468.5,0.02,0.00,-0.27,0.70,0.01
