Name,Mbar,e_Mbar,jbar,e_jbar,fgas,e_fgas,Mgas,e_Mgas,jgas,e_jgas,Mstar,e_Mstar,jstar,e_jstar
DDO064,417800000.0,216104141.56142405,65.62742939205361,53.78668901554694,0.8109143130684539,0.13722642053091486,338800000.0,210000000.0,71.3,25.1,79000000.0,51000000.0,41.3,21.6
DDO101,89140000.0,99320604.10609673,53.102804577069776,89.84518602132833,0.33138882656495394,0.46616289285121976,29539999.999999996,43680000.0,63.6,50.6,59600000.0,89200000.0,47.9,47.8
DDO126,228118864.3150958,45312756.51563212,61.02888962840821,18.774178354821036,0.8898869482341467,0.04783319987138057,203000000.0,43960000.0,62.5,8.299999999999999,25118864.315095823,10989281.27972715,49.14,4.92
DDO133,294225673.8556405,119513943.9850704,63.276654721405826,39.36631753570471,0.5519572710017151,0.1905732153094223,162400000.0,107800000.0,64.8,26.0,131825673.85564047,51601771.35396176,61.4,4.17
DDO154,382481536.2149688,57457399.974524945,150.1876457783272,33.296329051989986,0.9699814628214739,0.012877745768358047,371000000.0,57260000.0,154.0,8.5,11481536.214968817,4758698.543986526,27.0,2.48
DDO168,462576377.1102671,79748962.40549667,102.41159542874303,27.237959684230045,0.8201888785807152,0.06429200439091032,379400000.0,72800000.0,108.5,12.8,83176377.11026709,32558516.62396987,74.64,4.91
DDO50,1186600000.0,193544620.17839712,129.59703354121018,39.07745043397293,0.8483060846114949,0.04163137022453587,1006599999.9999999,187600000.0,142.4,27.7,180000000.0,47600000.0,58.0,26.2
LVHIS009,852038426.4602886,187623599.25265533,141.38462795955795,49.6085112975413,0.8379903744086332,0.06067047501712309,714000000.0,180600000.0,146.3,26.1,138038426.46028867,50855235.68445049,115.96,12.04
LVHIS012,2037995172.040202,284570064.39539135,295.3033332301003,59.44475530722598,0.8518175233271629,0.045096429483326664,1736000000.0,267399999.99999997,300.1,12.6,301995172.0402019,97351741.38143179,267.73,13.95
LVHIS025,396200000.0,84426654.55885363,102.19681978798586,33.57175984696647,0.872791519434629,0.05225757407770525,345800000.0,81900000.0,110.3,12.8,50400000.0,20500000.0,46.6,12.0
LVHIS030,1355800000.0,286031204.5913872,262.0165511137336,83.3179628148233,0.9706446378521906,0.012828672881026813,1316000000.0,285600000.0,269.1,26.7,39800000.0,15700000.0,27.8,38.0
LVHIS072,857920922.6666391,140529320.27295658,177.6753963931796,45.63178045978314,0.6560045164193836,0.07445532565036474,562800000.0,118999999.99999999,223.1,22.099999999999998,295120922.66663903,74749514.08791369,91.05,6.16
LVHIS080,455481338.92335755,112931908.96668263,103.07827862871672,39.496720980946925,0.9221014432617011,0.0367903331332478,420000000.0,111860000.0,107.7,15.5,35481338.92335753,15522772.396034567,48.37,6.31
NGC0055,5048000000.0,755965105.0147752,354.2671156893819,78.26278121462119,0.5463549920760697,0.07746157962741437,2758000000.0,436800000.0,429.3,20.200000000000003,2290000000.0,617000000.0,263.9,61.1
NGC0247,7236000000.0,1121743303.9693172,621.2213930348258,134.83023149525764,0.5107794361525705,0.07828688894375319,3696000000.0,585200000.0,747.0,23.900000000000002,3540000000.0,957000000.0,489.9,61.6
NGC0253,59366564210.92617,6831490791.309838,853.9136021557924,148.8785640032122,0.11598815389558156,0.04891586111469981,6885818185.94883,3187893746.1301966,866.0593527034413,361.45630358044633,52480746024.97734,6042069173.315968,852.32,36.9
NGC0300,4955482919.780208,735694015.5966593,461.8166062703331,100.22002237447204,0.5499934040537652,0.07706442765638598,2725482919.7802076,422896777.69490945,654.3535061255562,62.62080618184045,2230000000.0,602000000.0,226.5,37.3
NGC0891,71486000000.0,16847393384.14106,1018.5271521696556,323.2141583409322,0.09772542875528076,0.027955395463199077,6986000000.0,1262800000.0,2412.0,131.9,64500000000.0,16800000000.0,867.6,63.6
NGC1365,128085379704.4404,25712051882.48206,2664.645192237669,884.2777157832846,0.3301343197952395,0.07781240927327858,42285379704.44041,8961005077.972513,3274.675365179056,649.0909346908398,85800000000.0,24100000000.0,2364.0,666.9
NGC2366,1106600000.0,221485543.35730916,162.08058919212002,49.94202279227681,0.9096331104283389,0.03514536810903999,1006599999.9999999,218400000.0,164.3,21.100000000000005,100000000.0,36841361.487904735,139.74,6.34
NGC2403,11573413251.903492,1586543270.7782152,789.8036635672134,161.36817863149608,0.5141093530917853,0.06872253845310027,5950000000.0,1076600000.0,1130.0,71.1,5623413251.903491,1165354877.3020334,429.85,15.7
NGC2541,5010402778.041122,675737547.9778932,555.5120676571082,104.96582672130867,0.18693107949420687,0.03564971623566343,936600000.0,159600000.0,731.2,42.6,4073802778.041122,656619428.3960654,515.12,19.12
NGC2903,49471818185.94883,26343364386.186573,829.2518591728727,607.6966485183796,0.19550157120960343,0.11837739423576074,9671818185.94883,3572512726.835711,1647.5368851029716,389.32926842235395,39800000000.0,26100000000.0,630.4,260.0
NGC2998,107740000000.0,31798353982.557022,2594.3424911824764,1075.8541038824592,0.26768145535548543,0.09982948505669703,28840000000.0,9646000000.0,4814.0,758.8,78900000000.0,30300000000.0,1783.0,415.8
NGC3031,44576000000.0,10918110548.991524,1541.4459798994974,522.493074235018,0.08919597989949747,0.025311573621241545,3975999999.9999995,628600000.0,2271.0,130.8,40600000000.0,10900000000.0,1470.0,10.2
NGC3198,33955869074.375633,4005947775.4267445,1945.1177263848792,363.6397590113368,0.5112518240064868,0.05885867134304714,17360000000.0,2982000000.0,3024.0,133.3,16595869074.375631,2674938051.515676,816.56,33.41
NGC3319,5749200000.0,1267517258.2651489,601.1815556947054,186.07757389528072,0.21380365963960205,0.054640502982586325,1229200000.0,210000000.0,922.5,63.599999999999994,4520000000.0,1250000000.0,513.8,72.6
NGC3351,44925649937.04993,3570994758.8064094,1109.8313254757538,126.66217073850484,0.1729997682442657,0.022951846532806103,7772127027.332646,1020858858.3400686,1636.9195559836312,129.2479724241821,37153522909.71728,3421965920.165111,999.57,29.14
NGC3370,21336000000.0,4617086358.300005,843.4645669291339,244.08998532631682,0.2125984251968504,0.052707287914985766,4536000000.0,723800000.0,1430.0,93.3,16800000000.0,4560000000.0,685.1,57.9
NGC3521,56494778552.66489,27157631677.58952,979.5365305596458,650.7516052967995,0.28134951512107703,0.1496635606586,15894778552.664888,5475121764.455438,1636.084409232167,339.49814494215855,40600000000.0,26600000000.0,722.5,316.6
NGC3627,51909834205.04099,11202191727.013039,910.4675356126071,282.97526747425485,0.22750668319210574,0.06132923131967965,11809834205.040995,2584395381.662672,1051.9486223963943,104.97260274690308,40100000000.0,10900000000.0,868.8,90.4
NGC3726,48988000000.0,13839398975.389069,1443.325467461419,570.5069053215481,0.26920878582510005,0.09544333720084208,13188000000.0,4157999999.9999995,2131.0,335.6,35800000000.0,13200000000.0,1190.0,170.5
NGC3769,17672000000.0,4246011775.7726483,1161.230873698506,439.48269171692993,0.5291987324581259,0.12056224768449815,9352000000.0,2954000000.0,1743.0,261.8,8320000000.0,3050000000.0,507.3,126.6
NGC3877,35526000000.0,12220145742.17509,903.8429319371728,452.3097684372281,0.06265833474075325,0.02838104333675697,2226000000.0,701400000.0,1084.0,159.7,33300000000.0,12200000000.0,891.8,124.3
NGC3917,13894000000.0,4068744971.118244,800.6730963005614,330.8196927955137,0.22268605153303583,0.0835959367482096,3094000000.0,975799999.9999999,1128.0,165.20000000000002,10800000000.0,3950000000.0,706.9,103.3
NGC3953,64386000000.0,22139481171.879345,1719.2498369210698,875.2982590166674,0.06501413350728419,0.029433106437466473,4185999999.9999995,1321600000.0,2370.0,329.1,60200000000.0,22100000000.0,1674.0,309.4
NGC3972,8364000000.0,2482691958.338771,493.3295552367288,212.8990304252464,0.2109038737446198,0.08037062050442742,1764000000.0,554400000.0,643.1,100.5,6600000000.0,2420000000.0,453.3,84.2
NGC3992,205244365246.1746,25021109455.248737,4210.624212169864,736.2075991661991,0.17257477425758547,0.04021960921903098,35420000000.0,8694000000.0,6072.0,556.6,169824365246.1746,23462103110.581066,3822.4,133.52
NGC4010,10998000000.0,3040017394.6870766,536.500800145481,217.6880251781839,0.2889616293871613,0.09942860070060378,3178000000.0,1002399999.9999999,718.1,111.80000000000001,7820000000.0,2870000000.0,462.7,104.2
NGC4013,37950000000.0,11849446231.78653,1577.540184453228,684.9153216400393,0.15678524374176547,0.06382739024792122,5950000000.0,1876000000.0,2527.0,316.9,32000000000.0,11700000000.0,1401.0,175.3
NGC4051,35320000000.0,11566401936.64391,956.40543601359,481.5681487625125,0.11098527746319364,0.047709481499812925,3919999999.9999995,1237600000.0,1232.0,192.80000000000004,31400000000.0,11500000000.0,922.0,228.8
NGC4088,65900000000.0,19751708786.836647,1132.609104704097,469.0104681282148,0.20182094081942337,0.07798340172987642,13300000000.0,4199999999.9999995,1873.0,270.1,52600000000.0,19300000000.0,945.4,130.5
NGC4100,32812000000.0,10112573164.135822,1265.5198098256735,532.3069934059598,0.17408265268804096,0.06966525089342045,5712000000.0,1806000000.0,2103.0,260.1,27100000000.0,9950000000.0,1089.0,99.3
NGC4157,65800000000.0,19366050294.26496,1351.5,539.3981446760594,0.22340425531914893,0.08416398423299337,14700000000.0,4648000000.0,2483.0,355.9,51100000000.0,18800000000.0,1026.0,126.9
NGC4183,11760000000.0,2825713361.259418,839.875,303.9708329835612,0.5416666666666666,0.12037742008511128,6370000000.0,2015999999.9999998,1053.0,159.3,5390000000.0,1980000000.0,588.0,93.6
NGC4190,91802954.32513592,15449819.892675355,19.914101453598896,5.030655918465758,0.6633773438740566,0.09074623852394607,60899999.99999999,10444000.0,21.2,2.7,30902954.32513592,11385069.113365414,17.38,1.89
NGC4258,53858000000.0,12269874398.705147,1886.9885625162465,585.2006735500812,0.15518585911099556,0.040699250667703295,8357999999.999999,1307600000.0,3335.0,93.1,45500000000.0,12200000000.0,1621.0,150.0
NGC4535,78114217723.87161,7891080379.54328,1825.9130925293384,266.4315300020015,0.13449434034929636,0.019653369289951296,10505920184.673428,1297410627.1282992,1793.692355642191,165.85917308716628,67608297539.19819,7783692903.823189,1830.92,55.32
