gal,R[kpc],Vrot[km/s],e_Vrot[km/s],hi_l08(Msun/pc^2),hi_err_l08(Msun/pc^2),h2_f16_at_rl08(Msun/pc^2),h2_err_f16_at_rl08(Msun/pc^2),sfrd_l08(1e-4*Msun/yr/kpc^2),sfrd_err_l08(1e-4*Msun/yr/kpc^2)
NGC0925,0.2007126754417861,17.247,3.72,10.033235242222464,0.6520719002358388,3.448329288617372,0.7637549888760701,182.80594080871495,30.986683517610626
NGC0925,0.6021380263253581,17.248144382443822,3.72014489330672,10.75918976872545,1.137568686368172,2.9096464360213496,0.6444445397695212,128.26270614401645,21.04606279566442
NGC0925,1.00356337720893,20.57637994088896,4.14154165468201,11.141177787699956,1.0998933612813064,2.7282992127518133,0.6042787566037072,92.20555147029837,13.420029824627628
NGC0925,1.404988728092502,26.579831343029948,4.174999072386664,10.88372901448278,1.0422847771489292,2.5521175727718313,0.5652570753138002,67.04122287317071,8.950803223595816
NGC0925,1.8064140789760736,34.358247587963746,2.6558979374091662,10.883360809483722,1.0422847771489292,2.3486332243577928,0.5201882395815457,52.84481004405758,9.12695925955766
NGC0925,2.2078394298596464,42.35380177832385,2.0722334657886488,11.019931475923896,1.0945848101524578,1.8014162224430361,0.3989876000168199,45.620847096252625,10.628475801579667
NGC0925,2.6092647807432185,49.88244346697896,2.154273421453565,10.610386468404604,1.0947748224207208,1.0612403114034914,0.23504935706293767,37.03916465751494,8.024378665087307
NGC0925,3.0106901316267902,55.10297016951458,1.8107651609959805,9.661658265517165,0.8309159948834819,0.5297064320953326,0.11732230198780305,25.6817734175409,3.8247607264609855
NGC0925,3.412115482510364,60.391571653766654,2.111104135348275,9.604818234933203,0.678611631717357,0.3729440117547648,0.08260169656342899,21.073947363005836,2.478541401570799
NGC0925,3.8135408333939353,65.85475099377666,2.4730859505106992,10.452486164487933,0.7817135828616968,0.32741597315338955,0.07251789548030077,19.68623112741521,2.088852046265899
NGC0925,4.214966184277508,71.42553071198088,2.5049973436527218,11.266105207725815,0.7722836308906614,0.23962654750937556,0.05307380931732754,20.0561328937802,2.2222412388832002
NGC0925,4.616391535161078,76.6850278997348,2.6532752312721897,9.570033849937913,0.5577015337302899,0.16073687992494945,0.03560089065284034,19.84674585880431,2.4298118658183645
NGC0925,5.017816886044653,82.05555010880192,3.173262545494312,8.412089279698277,0.4146553743261531,0.1128190450604826,0.024987784313291732,17.06106838978947,1.9421080945883435
NGC0925,5.4192422369282225,84.77910364366083,3.678586470147264,8.124566880543671,0.4696659828355408,0.10795961478651608,0.023911490895755196,14.70074418679503,1.7397026414881118
NGC0925,5.820667587811795,84.95085777388961,3.8218813404253553,8.430824048924578,0.5894115557297095,0.17039775531442972,0.037740634615222805,14.991313030388307,2.375371231215942
NGC0925,6.222092938695368,86.58182303919278,3.7747895007907193,9.23177918005649,0.7063787134637475,0.2751178624665859,0.06093462149376844,16.865501251937054,3.5530692486097584
NGC0925,6.6235182895789375,90.13673410671896,2.8655910381551646,10.059788626613955,0.7817135828616968,0.2951185447176911,0.06536448290538889,17.43840774437114,3.8147478641224324
NGC0925,7.024943640462513,94.0334528486797,3.3979250179220686,10.357114754025513,0.7468979577432231,0.22477139919262576,0.04978360913984951,15.665074819695734,2.7328338832657315
NGC0925,7.4263689913460835,97.57543236891682,3.3994976454900967,10.144889905950203,0.6514279857180807,0.16266684968712553,0.0360283509998286,13.94911037957577,1.8544687418285513
NGC0925,7.827794342229656,101.66190598335083,3.109148986489489,9.88703744726828,0.6514279857180807,0.08650019069584448,0.0191585392963361,13.875638153084289,2.33770121505884
NGC0925,8.229219693113228,105.06099135151094,3.0779852444923947,9.67759993114755,0.6514279857180807,0.08650019069584448,0.0191585392963361,11.340344607206191,2.2328490861495864
NGC0925,8.630645043996799,106.87239828310992,3.0510238403285728,9.533311629861917,0.6514279857180807,0.08650019069584448,0.0191585392963361,8.17242181002382,1.3092712341310397
NGC0925,9.032070394880371,107.90140450789468,3.178026529413871,9.40256213086787,0.6514279857180807,0.08650019069584448,0.0191585392963361,6.699983036084899,0.8374370718935161
NGC0925,9.433495745763944,110.20810241968832,3.3293099638886505,9.380562994340362,0.6514279857180807,0.08650019069584448,0.0191585392963361,6.772440668485786,0.9470670618441331
NGC0925,9.834921096647514,112.64952008659176,2.536656035806784,9.68321146537504,0.6514279857180807,0.08650019069584448,0.0191585392963361,7.713913817811648,1.3225292136489746
NGC0925,10.236346447531089,112.89959356189745,2.5300105673906668,10.084575497431732,0.5862160942093153,0.08650019069584448,0.0191585392963361,9.32041498977797,1.990416584310113
NGC0925,10.63777179841466,114.4491179240467,2.124231046991639,10.202058421231387,0.5211423885744646,0.08650019069584448,0.0191585392963361,10.858756144908625,2.852146668755333
NGC0925,11.039197149298232,114.30519077382343,1.8227927814205096,10.068093047264094,0.5211423885744646,0.08650019069584448,0.0191585392963361,11.164919405178496,3.148825372131226
NGC0925,11.440622500181801,114.69363470788736,2.418939384598348,10.135504094013461,0.5211423885744646,0.08650019069584448,0.0191585392963361,9.99601049742102,2.402746574078094
NGC0925,11.842047851065375,115.44094607827708,2.5105703482080544,9.868226401290665,0.5086857694790992,0.08650019069584448,0.0191585392963361,6.729298337244139,1.1480487669926076
NGC0925,12.243473201948946,114.98859363063958,3.1007255282383763,9.554251256561813,0.40377779868322183,0.08650019069584448,0.0191585392963361,5.2604273506210655,0.9382825135635585
NGC0925,12.64489855283252,114.63608905088016,2.7280944900674644,8.605059070785986,0.3908567914308484,0.08650019069584448,0.0191585392963361,4.052413668878642,0.6823325317738572
NGC0925,13.046323903716091,115.5594443058144,3.1547810170115165,7.919104356990477,0.3908567914308484,0.08650019069584448,0.0191585392963361,3.539737454473199,0.7391134895154303
NGC0925,13.447749254599664,117.1490063979024,3.3653686869474546,7.023496179357466,0.46709084987654764,0.08650019069584448,0.0191585392963361,3.1397199754944425,0.8600282187315431
NGC0925,13.849174605483238,118.73374153955696,3.3131077940600244,6.230907991812476,0.5211423885744646,0.08650019069584448,0.0191585392963361,2.57222722832198,0.828496824376359
NGC0925,14.250599956366804,119.17955805653492,3.0407718500998624,5.861091446338418,0.5211423885744646,0.08650019069584448,0.0191585392963361,,
NGC0925,14.652025307250383,121.71306679351405,3.148519137821185,5.4756830700385715,0.4671665883917384,0.08650019069584448,0.0191585392963361,,
NGC0925,15.053450658133952,122.7725501200998,3.452084577295328,4.827198074697859,0.3908567914308484,0.08650019069584448,0.0191585392963361,,
NGC0925,15.454876009017523,122.99893042899984,4.1717775274017646,4.223882226499831,0.3908567914308484,0.08650019069584448,0.0191585392963361,,
NGC0925,15.856301359901096,123.60494508820886,4.491942999622641,3.6986220414182873,0.37341289204583844,0.08650019069584448,0.0191585392963361,,
NGC2403,0.20682132208566653,49.629,1.7185,7.265234204755222,0.32352433693065163,8.955113289379858,4.781515335208442,94.38407315128185,5.7840215807288775
NGC2403,0.6204639662569995,64.64623872800469,1.1692394847348824,7.646124981326831,0.4271539783537067,10.009574805839657,5.344537124929302,87.6208540190071,15.486773626114381
NGC2403,1.0341066104283323,76.44819967700195,2.2735863051857095,7.795560104955146,0.32036548376528,6.526789218745268,3.4849299758289036,82.84853269746331,28.811187547100346
NGC2403,1.4477492545996655,84.98282640770614,0.6684730011730368,7.874309348314565,0.39622670691402523,6.087886033078616,3.2505809234918708,81.0967487491756,31.14523547561967
NGC2403,1.8613918987709983,91.66344189355397,1.781023665384722,8.07452886813095,0.64073096753056,3.5017485048350423,1.8697322562930407,51.05300364328642,9.21239303961199
