Name,Mass,e_Mass,j,e_j,fgas,e_fgas,c(lM-lfgas),c(lM-lj),c(lfgas-lj)
NGC0925,1.17e+10,2.47e+09,634.5,62.1,0.24,0.05,-0.82,-0.21,0.39
NGC2403,9.27e+09,1.52e+09,673.9,68.8,0.46,0.07,-0.67,-0.19,0.67
NGC3769,1.50e+10,3.71e+09,1057.0,161.2,0.45,0.07,-0.35,0.54,0.36
NGC3917,1.30e+10,4.02e+09,778.5,91.8,0.17,0.04,-0.49,0.61,0.11
NGC3972,7.86e+09,2.46e+09,483.6,72.9,0.16,0.04,-0.49,0.62,0.08
NGC4010,1.01e+10,2.96e+09,520.1,85.5,0.22,0.05,-0.46,0.62,0.12
NGC4085,1.12e+10,3.80e+09,333.4,59.6,0.08,0.02,-0.52,0.62,0.06
NGC4183,9.94e+09,2.44e+09,800.7,94.7,0.46,0.07,-0.34,0.66,0.20
NGC4389,9.83e+09,3.46e+09,201.3,96.1,0.04,0.01,-0.54,0.57,0.03
NGC5584,1.37e+10,3.14e+09,801.5,66.8,0.17,0.04,-0.83,0.00,0.12
UGC03580,1.31e+10,5.08e+09,815.7,223.1,0.45,0.07,-0.18,0.70,0.25
UGC06930,8.46e+09,2.06e+09,786.0,135.5,0.49,0.07,-0.32,0.49,0.11
UGC11557,8.24e+09,3.54e+09,334.5,142.6,0.27,0.06,-0.25,0.45,0.05
