Name,Mass(Msun),e_Mass(Msun),j,e_j,fgas,e_fgas,Dist(kpc),e_Dist(kpc),c(lM-lfgas),c(lM-lj),c(lfgas-lj)
NGC4389,9830000000,3460000000,201.3,96.1,0.04,0.01,18,2.5,-0.54,0.57,0.03
NGC4414,69000000000,18800000000,866,71.2,0.02,0.01,17.8,0.74,-0.82,0.06,0.12
NGC4535,46400000000,11800000000,1506,157.9,0.1,0.03,16.1,0.77,-0.79,0.07,0.09
NGC4536,25300000000,5930000000,1082,71.3,0.16,0.04,14.6,0.6,-0.8,-0.02,0.31
NGC4605,2300000000,630000000,113.2,19.6,0.02,0.01,5.54,0.25,-0.81,0.22,0.03
NGC4639,18300000000,4540000000,882.7,45.8,0.09,0.02,22,0.71,-0.84,-0.06,0.23
NGC4725,55800000000,14400000000,2019,153.6,0.06,0.02,12.5,0.46,-0.83,-0.01,0.13
NGC5584,13700000000,3140000000,801.5,66.8,0.17,0.04,22.4,0.72,-0.83,0,0.12
NGC6946,41300000000,22300000000,978.7,224.6,0.2,0.05,5.52,1.66,-0.23,0.75,0.1
NGC7331,71500000000,13900000000,2339,133,0.32,0.06,13.8,0.51,-0.78,0.2,0.55
NGC7793,4790000000,936000000,283,23.6,0.31,0.06,3.58,0.11,-0.81,-0.36,0.56
NGC7814,40300000000,10000000000,727.4,63.2,0.03,0.01,14.4,0.66,-0.81,-0.05,0.37
UGC00731,2280000000,1310000000,435,133.3,0.93,0.02,12.5,3.75,-0.03,0.8,0.01
UGC02487,213000000000,73500000000,8264,978.3,0.11,0.03,69.1,10.4,-0.48,0.48,0.1
UGC02916,99600000000,30300000000,1828,378.7,0.24,0.05,65.4,9.8,-0.43,0.44,0.33
UGC02953,146000000000,87900000000,2269,577.9,0.07,0.02,16.5,4.95,-0.25,0.73,0.11
UGC03546,48300000000,24900000000,1179,397.7,0.08,0.02,28.7,7.2,-0.31,0.7,0.08
UGC03580,13100000000,5080000000,815.7,223.1,0.45,0.07,20.7,5.2,-0.18,0.7,0.25
UGC04278,1770000000,812000000,306.5,99.7,0.64,0.07,9.51,2.85,-0.1,0.79,0.09
UGC04325,1770000000,801000000,249.4,70.8,0.44,0.07,9.6,2.88,-0.16,0.78,0.03
UGC04499,2010000000,922000000,275.6,71,0.63,0.07,12.5,3.75,-0.1,0.79,0.05
UGC05253,116000000000,55500000000,2316,843.1,0.15,0.04,22.9,5.72,-0.29,0.65,0.18
UGC05721,919000000,436000000,199.8,60.8,0.7,0.06,6.18,1.85,-0.09,0.78,0.12
UGC05829,1450000000,753000000,229.4,104,0.82,0.04,8.64,2.59,-0.05,0.61,0.03
UGC06399,1910000000,483000000,308.7,41.1,0.41,0.07,18,2.5,-0.37,0.67,0.14
UGC06446,1240000000,561000000,355.8,94.5,0.61,0.07,12,3.6,-0.1,0.79,0.1
UGC06786,46100000000,22700000000,1287,378.2,0.12,0.03,29.3,7.31,-0.3,0.7,0.16
UGC06787,64900000000,32600000000,1328,629.5,0.1,0.03,21.3,5.32,-0.3,0.67,0.19
UGC06818,1360000000,339000000,195.1,30.3,0.43,0.07,18,2.5,-0.35,0.6,0.26
UGC06930,8460000000,2060000000,786,135.5,0.49,0.07,18,2.5,-0.32,0.49,0.11
UGC06973,25000000000,8670000000,449.5,51.6,0.06,0.01,18,2.5,-0.53,0.59,0.07
UGC06983,6210000000,1490000000,777.5,102.7,0.6,0.07,18,2.5,-0.26,0.7,0.18
UGC07125,5870000000,2890000000,579.9,161.2,0.76,0.05,19.8,5.9,-0.06,0.8,0.07
UGC07323,2600000000,1280000000,220.1,89.5,0.29,0.06,8,2.4,-0.19,0.77,0.05
UGC07524,3130000000,468000000,436.2,34.3,0.62,0.07,4.74,0.24,-0.56,0.31,0.2
UGC07690,761000000,341000000,101.7,23.8,0.47,0.07,8.11,2.43,-0.15,0.75,0.09
UGC08286,1420000000,202000000,280,16.8,0.56,0.07,6.5,0.21,-0.73,-0.23,0.67
UGC08490,1390000000,294000000,262.6,34.3,0.63,0.07,4.65,0.53,-0.29,0.57,0.33
UGC08550,499000000,237000000,139.9,40.2,0.71,0.06,6.7,2,-0.08,0.79,0.1
UGC09133,202000000000,75700000000,4367,903.8,0.22,0.05,57.1,11.4,-0.33,0.53,0.33
UGC10310,2110000000,960000000,290.9,79.6,0.59,0.07,15.2,4.6,-0.11,0.72,0.05
UGC11557,8240000000,3540000000,334.5,142.6,0.27,0.06,24.2,6.05,-0.25,0.45,0.05
UGC11914,72500000000,46400000000,891.7,468.5,0.02,0,16.9,5.1,-0.27,0.7,0.01
UGC12060,1540000000,262000000,314,27.7,0.59,0.07,15.1,1,-0.5,0.33,0.4
WLM,86600000,12500000,39.5,3.5,0.82,0.04,1,0.04,-0.28,0.19,0.03
