# slope intercept sigma lnLike
-4.934644601676007047e-01 1.756714938803584092e-01 2.830618957119784285e-01 -2.003256851627231327e+01
-7.016337588539285353e-01 2.333119860009923441e-01 3.094819160394243762e-01 -2.160620108153065999e+01
-3.119509196592845646e-01 1.627753980279414980e-01 2.921704176199029779e-01 -2.103792820976581268e+01
-4.969234997739201409e-01 1.325593571877876076e-01 2.834987294150376758e-01 -2.120325448437768046e+01
-7.278357853911046060e-01 1.407648257502308597e-01 2.849363789826194759e-01 -2.169602195298129743e+01
-5.956692788245996351e-01 2.075252629818704897e-01 2.709604079913288111e-01 -2.042660398306315983e+01
-3.933138490755287986e-01 1.478628331110564686e-01 3.624443275243449669e-01 -2.347102863816646945e+01
-5.510993909480775832e-01 1.435501888704321660e-01 2.590352556214442492e-01 -2.163338758139562401e+01
-1.626428875144075858e-01 1.832142569212857619e-01 2.896279177567828711e-01 -2.250305529111302150e+01
-4.708049419067425467e-01 2.294678785368413632e-01 3.128059179124929035e-01 -2.124228728054957216e+01
-3.421562150539849689e-01 1.875402838614410872e-01 2.448158593309759934e-01 -2.220996694252206538e+01
-3.643544786804915891e-01 1.605446377624593635e-01 3.393894872828883136e-01 -2.211580497025270731e+01
-6.162841833876934183e-01 1.916872506766396367e-01 2.963296226877284445e-01 -2.018375393808094742e+01
-5.210392719622921609e-01 1.798540341308364487e-01 2.516516729054042445e-01 -2.102378950334301067e+01
-6.989730947362574609e-01 1.498715200046920881e-01 2.807022768070820962e-01 -2.122430166662560680e+01
-8.837269536381302526e-01 1.664929516151173461e-01 3.263077106091451518e-01 -2.285921282584430259e+01
-4.841004718816728780e-01 2.286620198642095314e-01 2.355467708111366187e-01 -2.323316524717961329e+01
-5.229892398215219007e-01 2.004470124768341355e-01 2.533656348703188232e-01 -2.093050928975293701e+01
-3.763159931043025819e-01 1.505707616892518197e-01 2.404630924135726933e-01 -2.323269888487651968e+01
-3.412076094955356353e-01 2.155143531686735670e-01 2.751456999273526605e-01 -2.114268813379867495e+01
-2.857319615498628007e-01 1.823869313820720983e-01 3.257478593634990927e-01 -2.187862582428740410e+01
-4.681621852288379571e-01 1.807171461538771284e-01 3.162011209204895756e-01 -2.060315595938834932e+01
-7.989489754153036305e-01 1.880070401448569184e-01 3.052364067278108273e-01 -2.142143808591951171e+01
-3.945137085661096221e-01 1.740294956527610182e-01 2.910997658172136959e-01 -2.035814754112404401e+01
-5.813885819544518663e-01 2.028815153829618134e-01 3.017048081197744036e-01 -2.028957770899310376e+01
-6.130988050781354115e-01 1.680547396290956175e-01 2.399634029432353710e-01 -2.252269848398864127e+01
-4.449697794678095231e-01 1.990004976043396601e-01 2.737520635494276044e-01 -2.026953760269309512e+01
