j_acc_kpc_km_s,j_bar_kpc_km_s,f_gas,j_gas_kpc_km_s,j_star_kpc_km_s
112.2018454301963,112.2071691518325,0.09566262751276605,273.4011126273285,95.15574935968196
224.4036908603926,224.41310892513692,0.15394026155864016,481.7427574081728,177.5920730166695
336.60553629058893,336.604834791538,0.21066407850245228,655.9840225293804,251.36644585567706
448.8073817207852,448.78417765685384,0.26704444679215245,808.0999756658395,317.8713438799052
561.0092271509815,560.9791899074081,0.32274151764733977,944.5205811664587,378.20594465322563
673.2110725811777,673.145463466593,0.3772211260820516,1069.5392466331734,433.04722712577177
785.4129180113741,785.2589524724941,0.4296397997602178,1186.4938233986597,483.0175451494332
897.6147634415704,897.3743664838781,0.479489528084408,1297.8386320991776,528.4703153744368
1009.8166088717667,1009.6452354505333,0.5266488093792893,1404.830534213001,569.9635124479199
1122.018454301963,1121.7412995679285,0.5707044511908811,1508.3473162529872,607.788207831021
