r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
2.95 248.80 0.20 0.00
3.13 250.28 0.39 767.27
3.30 249.93 0.84 797.57
3.48 248.71 1.42 828.49
3.65 243.37 1.94 851.73
3.82 242.69 2.34 873.87
4.00 239.19 2.68 896.82
4.17 237.22 2.87 917.24
4.34 234.88 2.96 936.92
4.52 233.59 3.09 957.66
4.69 235.28 3.23 978.98
4.87 235.04 3.25 1002.76
5.04 236.10 3.16 1025.24
5.21 237.21 3.00 1047.64
5.39 237.69 3.01 1071.57
5.56 240.25 3.10 1095.58
5.73 242.20 3.14 1121.23
5.91 244.54 3.20 1149.75
6.08 246.22 3.32 1178.08
6.26 246.47 3.34 1208.59
6.43 247.19 3.36 1237.27
6.60 248.08 3.35 1265.92
6.78 248.59 3.44 1296.53
6.95 250.01 3.54 1326.24
7.12 252.33 3.62 1357.10
7.30 252.23 3.76 1390.64
7.47 251.59 3.91 1422.60
7.65 251.51 4.05 1456.66
7.82 249.75 4.09 1488.27
7.99 249.93 4.09 1518.98
8.17 249.05 4.14 1550.94
8.34 243.87 4.13 1579.29
8.51 242.33 4.09 1605.62
8.69 240.58 4.04 1632.29
8.86 238.16 4.02 1656.32
9.04 237.97 4.00 1681.12
9.21 234.61 3.95 1703.69
9.38 231.55 3.89 1724.77
9.56 226.97 3.87 1745.47
9.73 223.83 3.88 1763.75
9.90 221.98 3.89 1781.44
10.08 220.82 3.91 1800.03
10.25 220.29 3.98 1817.85
10.43 220.50 3.98 1837.19
10.60 220.12 3.83 1855.41
10.77 214.00 3.62 1871.89
10.95 217.81 3.50 1888.56
11.12 210.34 3.43 1903.66
11.29 203.76 3.34 1916.42
11.47 203.36 3.24 1928.84
11.64 200.36 3.07 1940.04
11.82 199.72 2.92 1951.23
11.99 199.14 2.74 1961.51
12.16 200.61 2.52 1971.63
12.34 198.86 2.32 1981.93
12.51 198.31 2.12 1991.00
12.68 198.61 1.94 1999.65
12.86 198.31 1.78 2008.45
13.03 197.14 1.68 2016.42
13.21 197.30 1.59 2024.68
13.38 200.73 1.50 2032.69
13.55 204.54 1.43 2041.20
13.73 202.15 1.38 2050.31
13.90 200.67 1.34 2058.65
14.07 201.59 1.31 2067.02
14.25 200.93 1.27 2075.99
14.42 200.72 1.23 2084.42
14.60 199.27 1.19 2093.23
14.77 200.18 1.17 2101.59
14.94 199.31 1.16 2110.11
15.12 199.76 1.13 2119.22
15.29 200.22 1.10 2127.93
15.46 203.88 1.04 2136.81
15.64 203.60 0.95 2146.05
15.81 204.77 0.86 2154.27
15.99 204.65 0.79 2162.51
16.16 205.71 0.73 2169.93
16.33 207.16 0.67 2177.09
16.51 209.62 0.64 2184.59
16.68 210.34 0.57 2191.45
16.85 210.30 0.55 2198.01
17.03 210.00 0.55 2205.01
17.20 208.57 0.56 2211.79
17.38 206.55 0.57 2219.14
17.55 208.18 0.58 2226.37
17.72 207.02 0.59 2233.92
17.90 206.48 0.57 2241.96
18.07 205.07 0.54 2249.31
18.24 205.42 0.51 2256.38
18.42 205.11 0.50 2263.77
18.59 205.67 0.50 2270.85
