r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.63 265.00 0.64 nan
1.72 250.00 0.65 360.28
2.79 233.00 0.74 503.18
3.91 230.00 0.93 673.76
5.03 228.00 1.09 850.27
6.14 228.00 1.11 1019.14
7.26 227.00 1.23 1192.82
8.37 226.00 1.46 1375.89
9.50 223.00 1.58 1559.83
10.65 219.00 1.44 1723.58
11.74 216.00 1.13 1850.10
12.82 214.00 0.84 1951.57
14.01 214.00 0.88 2064.06
15.09 214.00 0.99 2186.00
16.18 214.00 0.67 2298.83
17.36 214.00 0.44 2389.17
18.44 214.00 0.30 2452.36
19.53 214.00 0.18 2499.69
