r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.54 16.07 5.49 0.00
1.63 24.73 5.06 32.00
2.72 34.34 4.43 51.72
3.81 41.19 3.72 86.39
4.90 48.05 3.03 121.54
5.99 55.52 2.31 161.73
7.08 61.34 1.53 200.15
8.16 65.98 0.94 232.73
9.25 65.84 0.58 258.58
10.34 66.48 0.35 277.53
