r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.07 0.21 10.98 0.00
0.21 1.06 9.94 0.17
0.35 1.36 8.31 0.27
0.49 3.31 6.84 0.60
0.63 5.58 5.79 1.23
0.77 9.11 4.96 2.26
0.91 11.23 4.22 3.63
1.05 12.40 3.49 4.99
1.19 14.35 2.82 6.36
1.33 16.02 2.30 7.80
1.48 17.86 1.75 9.22
