r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.37 183.00 5.92 0.00
0.74 196.00 6.13 119.86
1.11 205.00 6.33 167.48
1.48 211.00 6.54 219.59
1.84 214.00 6.74 272.26
2.21 214.00 6.94 326.70
2.60 213.00 7.16 383.53
2.96 211.00 7.36 434.96
3.17 210.00 7.45 464.33
3.33 209.00 7.50 486.45
3.70 207.00 7.62 537.02
4.07 206.00 7.73 586.99
4.44 205.00 7.84 636.73
4.81 205.00 7.96 686.69
5.18 206.00 8.07 737.51
5.55 207.00 8.19 789.42
5.92 208.00 8.30 842.25
6.28 210.00 8.35 894.65
6.34 210.00 8.34 903.44
6.65 212.00 8.28 949.12
7.03 214.00 8.21 1005.69
7.39 215.00 8.15 1059.42
7.77 216.00 8.08 1116.03
8.14 217.00 8.01 1171.08
8.51 218.00 7.95 1226.18
8.88 218.00 7.88 1281.01
9.25 218.00 7.83 1335.32
9.52 218.00 7.82 1374.78
9.62 218.00 7.82 1389.37
9.99 217.00 7.81 1443.01
10.40 217.00 7.80 1502.02
10.71 216.00 7.79 1546.29
11.12 215.00 7.78 1604.09
12.67 212.00 7.72 1818.35
12.98 211.00 7.69 1859.88
15.86 209.00 7.36 2241.66
19.05 215.00 6.28 2652.19
22.14 215.00 4.54 3004.07
25.34 210.00 2.94 3287.84
28.53 196.00 1.99 3494.58
31.72 185.00 1.99 3675.61
34.91 182.00 1.99 3876.14
38.00 181.00 1.99 4095.98
