r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
2.10 193.12 3.06 0.00
2.62 193.67 3.66 466.54
3.15 196.10 4.07 527.66
3.67 196.15 4.32 589.88
4.20 194.03 4.34 651.30
4.72 194.13 4.25 710.34
5.25 192.04 4.07 768.87
5.77 190.52 3.91 824.31
6.30 189.29 3.67 879.20
6.82 189.20 3.47 932.24
7.35 190.41 3.32 987.14
7.87 191.12 3.22 1042.45
8.40 188.88 3.05 1097.96
8.92 187.99 2.82 1149.89
9.45 186.23 2.53 1199.54
9.97 184.67 2.25 1244.52
10.50 183.99 1.93 1286.61
11.02 185.89 1.64 1324.98
11.55 187.41 1.36 1361.44
12.07 188.29 1.13 1394.24
