r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.27 3.18 1.47 0.00
0.81 5.43 1.59 3.56
1.35 23.11 1.63 15.53
1.89 42.19 1.47 36.50
2.44 50.47 1.57 63.77
2.98 52.08 1.62 89.96
3.52 59.91 1.55 117.16
4.06 72.78 1.37 149.25
4.60 79.79 1.42 187.19
5.14 86.37 1.35 228.02
5.68 90.98 1.23 268.74
6.22 92.27 1.17 308.04
6.76 97.93 1.16 348.75
7.31 101.52 1.21 394.30
7.85 101.04 1.13 438.27
8.39 102.95 0.97 477.76
8.93 102.05 1.00 515.77
9.47 100.31 1.01 553.62
10.01 102.14 1.02 592.12
10.55 105.93 0.97 632.30
11.09 106.90 0.82 670.37
11.63 103.79 0.72 703.15
12.18 101.34 0.61 731.24
