r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.41 27.37 3.87 0.00
1.22 28.10 4.12 28.80
2.04 35.07 4.19 43.59
2.85 43.34 4.58 73.44
3.67 49.75 4.52 105.99
4.48 53.20 4.04 140.78
5.29 54.34 3.57 172.27
6.11 55.09 3.36 202.66
6.92 56.07 2.68 231.01
7.74 56.73 1.68 253.55
8.55 56.00 0.95 269.07
