r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
2.61 120.00 4.74 0.00
3.50 148.00 4.90 432.18
4.37 168.00 4.76 545.94
5.24 182.00 4.60 667.50
6.11 190.00 4.29 788.89
6.98 194.00 3.96 905.70
7.85 195.00 3.60 1015.75
8.72 193.00 3.25 1117.24
9.60 192.00 3.09 1215.08
10.47 192.00 2.95 1311.28
11.35 191.00 2.89 1409.18
12.19 189.00 2.83 1502.25
13.12 185.00 2.65 1600.26
13.94 182.00 2.49 1680.70
14.86 179.00 2.26 1764.50
15.68 176.00 2.03 1832.83
16.61 174.00 1.54 1899.03
17.42 178.00 1.15 1947.19
18.35 177.00 0.87 1994.37
19.16 169.00 0.65 2026.76
20.09 158.00 0.48 2053.53
21.02 158.00 0.34 2073.53
21.95 158.00 0.26 2090.29
22.76 159.00 0.20 2103.01
