r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.26 34.88 3.70 0.00
0.79 44.87 2.30 26.31
1.32 64.12 1.65 43.28
1.85 67.08 1.36 69.63
2.37 66.27 1.10 90.66
2.90 63.41 0.81 109.75
