r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.15 31.41 12.79 0.00
0.46 35.59 10.95 13.07
0.76 42.64 8.41 19.20
1.07 47.13 7.08 29.25
1.38 50.25 5.36 38.49
1.68 51.64 3.65 47.34
1.99 51.74 2.51 54.33
2.29 53.50 1.78 60.94
2.60 54.06 1.29 66.60
2.90 56.74 0.90 72.11
