r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.32 19.31 6.39 0.00
0.94 27.99 6.32 21.29
1.57 42.03 5.68 35.43
2.20 52.25 4.70 61.60
2.83 58.45 3.79 87.20
3.46 66.13 3.01 114.58
4.09 72.27 2.32 142.51
4.72 79.02 1.67 169.32
5.35 82.34 1.11 193.67
5.98 82.38 0.63 211.47
6.61 82.17 0.32 223.12
