r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.95 22.32 2.20 0.00
2.85 27.76 1.31 58.32
4.75 36.56 0.64 87.30
6.64 40.75 0.29 125.07
