r[kpc] vrot[km/s] Sigma_HI[Msun/pc2] jHI[kpckm/s]
0.57 25.14 3.47 0.00
1.70 29.60 2.71 39.57
2.84 35.54 1.63 56.82
3.97 38.33 0.75 79.27
